ID,Name,Year Published,Bayesian Average,Mechanic,Category
2654,Snap,1997,0,Not available,Card Game
2656,Inferno,1996,5.4842,Hexagon Grid,Fighting
2657,Auweier,2001,5.50708,Betting and Bluffing,Animals
2659,Die VampirConnection,2001,0,Pick-up and Deliver,Card Game
2661,Small Soldiers Big Battle Game,1998,0,Action Points,Children's Game
2662,Super Giant Monster Showdown: Destroy Tokyo Tower,1999,0,Modular Board,Card Game
2664,Push Over,1981,5.49392,Dice Rolling,Racing
2666,A Mighty Fortress,1977,5.53992,Hexagon Grid,Pike and Shot
2667,What Were You Thinking?,1998,5.6518,Single Loser Game,Party Game
2669,Frog Juice,1995,5.49476,Matching,Animals
2671,Cheeeese Please,1997,0,Roll / Spin and Move,Children's Game
2672,Der Herr der Ringe: Die Gefährten – Das Kartenspiel,2001,5.54784,Area Majority / Influence,Card Game
2673,Hesketh's Legacy,1999,0,Not available,Card Game
2674,Coppertwaddle,2000,5.50547,Hand Management,Card Game
2675,Not available,Not available,Not available,Not available,Not available
2677,Commercial Crazies,1985,0,Simultaneous Action Selection,Memory
2678,Voyage of the B.S.M. Pandora,1981,5.67228,Dice Rolling,Adventure
2679,Mouse Trap,1963,4.63232,Race,Action / Dexterity
2681,Countdown,1982,5.48788,Spelling,Deduction
2682,Not available,Not available,Not available,Not available,Not available
2684,Not available,Not available,Not available,Not available,Not available
2686,Not available,Not available,Not available,Not available,Not available
2688,Battlestar Galactica,1978,5.36544,Pick-up and Deliver,Movies / TV / Radio theme
2689,British Rails,1984,5.836,Crayon Rail System,Economic
2691,Lancer,1973,0,Grid Movement,Abstract Strategy
2693,Bottle Topps,1993,5.464,Stacking and Balancing,Action / Dexterity
2694,Donnerwetter,1991,0,Betting and Bluffing,Bluffing
2696,Palenque,1998,5.47958,Not available,Adventure
2698,FrachtExpress,2001,5.55589,Hand Management,Card Game
2699,Fire Team,1987,5.57213,Action Points,Modern Warfare
2700,Rauchzeichen,2001,0,Set Collection,Memory
2702,Renaissance Traders,2001,0,Commodity Speculation,Nautical
2703,"Another Day, Another Dollar: Kung Fu",2000,5.54248,Dice Rolling,Dice
2704,New Tactical Games with Dice and Cards,1990,5.52655,Auction/Bidding,Abstract Strategy
2705,Blazing Aces!: A Fistful of Family Card Games,1995,5.52772,Not available,American West
2707,Alibi,2001,5.45977,Not available,Card Game
2708,Not available,Not available,Not available,Not available,Not available
2710,Quivive,1998,5.5331,Grid Movement,Abstract Strategy
2712,Samarcanda: The Marvellous Adventures of Marco Polo,1982,0,Roll / Spin and Move,Economic
2713,James Clavell's Noble House,1981,5.52489,Auction/Bidding,Economic
2715,"Another Day, Another Dollar: Musicals",2000,5.54526,Dice Rolling,Dice
2717,Der Herr der Ringe: Die Gefährten,2001,5.4495,Roll / Spin and Move,Fantasy
2718,War! Age of Imperialism,2001,5.49246,Area Movement,Industry / Manufacturing
2719,Connect Four,1974,5.0161,Pattern Building,Abstract Strategy
2720,Shooting Stars: A Tactical Game of Fighter Combat in Space,1980,5.52418,Action Points,Science Fiction
2721,Wembley,1952,5.53137,Dice Rolling,Dice
2722,Booze Cruise,1995,0,Open Drafting,Trivia
2723,Dippi Totale,1985,0,Simultaneous Action Selection,Wargame
2724,Apache: A Game of the Old West,1981,5.4891,Events,American Indian Wars
2725,Star Wars: Escape From The Death Star,1990,5.51665,Cooperative Game,Movies / TV / Radio theme
2726,Crazy Clock Game,1964,0,Cooperative Game,Action / Dexterity
2727,Not available,Not available,Not available,Not available,Not available
2728,The Generals,1980,5.57903,Secret Unit Deployment,Abstract Strategy
2729,Not available,Not available,Not available,Not available,Not available
2730,Quadwrangle,1983,5.507,Not available,Dice
2731,Upthrust,1987,5.50847,Grid Movement,Abstract Strategy
2732,Pole Position,1983,0,Action Queue,Racing
2733,Stimmvieh,1998,5.51868,Auction/Bidding,Card Game
2734,Hossa!,2000,5.53344,Cooperative Game,Music
2735,Hossa! Seefahrer-Erweiterung,2001,0,Cooperative Game,Expansion for Base-game
2736,The Lonely Mountain,1984,5.54606,Dice Rolling,Fantasy
2737,Not available,Not available,Not available,Not available,Not available
2738,The Gnumies,2001,5.48098,Auction/Bidding,Card Game
2739,More Cosmic Encounter,1992,5.89324,Events,Card Game
2740,Jumbo Jet,1975,5.41695,Point to Point Movement,Aviation / Flight
2741,Chez Geek 3: Block Party,2001,5.73642,Set Collection,Card Game
2742,Wings: World War One Plane to Plane Combat 1916-1918,1981,5.5968,Action Queue,Aviation / Flight
2743,Starfall,1979,5.53201,Action Points,Economic
2744,SHOC,1944,0,Commodity Speculation,Card Game
2745,WaveLength,2001,0,Not available,Card Game
2746,Asteroid Pirates: A Game of Ship to Ship Combat in the Asteroid Belts,1981,5.49667,Action Points,Science Fiction
2747,Airplay,1989,0,Roll / Spin and Move,Music
2748,"Thirty Years War: Europe in Agony, 1618-1648",2001,5.81615,Campaign / Battle Card Driven,Pike and Shot
2749,The American Civil War,2001,5.50435,Not available,American Civil War
2750,Imaginiff,1998,5.48023,Roll / Spin and Move,Bluffing
2751,Lawrence of Arabia: The British Offensive – September-October 1918,1983,5.52933,Dice Rolling,Wargame
2752,Combat Cards,1984,0,Hand Management,Card Game
2753,Demon's Run,1981,5.50507,Action Points,Racing
2754,Clintonopoly!,1995,0,Roll / Spin and Move,Economic
2755,New America,1980,0,Action Points,Economic
2756,Alien Contact: Extraterrestrial Empires in Conflict,1983,5.51335,Action Points,Civilization
2758,Bridgette,1970,5.55782,Auction/Bidding,Card Game
2759,Havannah,1980,5.636,Hexagon Grid,Abstract Strategy
2761,Knights of the Dinner Table: Orcs – The Reckoning,1999,0,Not available,Expansion for Base-game
2762,Alpha Playing Cards,1997,5.52368,Spelling,Abstract Strategy
2764,Ein Arsch kommt selten allein,2001,5.47379,Not available,Card Game
2765,Too Many Cooks,2001,5.50195,Auction/Bidding,Card Game
2766,Jeopardy!,1964,5.4654,Betting and Bluffing,Animals
2768,Combo,1997,0,Dice Rolling,Dice
2769,Not available,Not available,Not available,Not available,Not available
2771,Maginor,2001,5.48992,Dice Rolling,Fantasy
2772,Mutant Chess,2001,0,Grid Movement,Abstract Strategy
2774,Not available,Not available,Not available,Not available,Not available
2776,Heavy Gear Fighter,1995,5.50292,Action Points,Card Game
2777,Safari,2000,5.46605,Set Collection,Adventure
2778,Gondor: The Siege of Minas Tirith,1977,5.56462,Dice Rolling,Fantasy
2780,Tarock,1425,5.65468,Hand Management,Card Game
2782,Vantage,1985,5.4798,Memory,Card Game
2783,Thieves in the Wood,1976,5.48026,Roll / Spin and Move,Children's Game
2785,Game of Goose,1587,4.8178,Dice Rolling,Animals
2786,Not available,Not available,Not available,Not available,Not available
2788,First to Reverse,1988,5.48467,Roll / Spin and Move,Children's Game
2789,Duck Pond,1991,0,Pattern Recognition,Animals
2790,Regentropfenspiel,1986,0,Dice Rolling,Children's Game
2791,Baby Bird Game,1988,5.46417,Dice Rolling,Animals
2793,The Hamsters,1986,5.47404,Roll / Spin and Move,Animals
2794,Spinball,2001,5.60833,Not available,Action / Dexterity
2796,Quickely Dice,2001,0,Not available,Card Game
2797,Chez Geek 2: Slack Attack,2000,5.71169,Set Collection,Card Game
2798,The Ironclads: Expansion Kit,1980,5.59608,Dice Rolling,American Civil War
2800,The Ironclads: A Tactical Level Game of Naval Combat in the American Civil War 1861-1865,1979,5.70265,Dice Rolling,American Civil War
2801,Goldraub in London,1986,0,Not available,Deduction
2802,War in Europe,1976,5.62172,Dice Rolling,Economic
2803,Ave,2000,0,Tile Placement,Ancient
2804,200 Jahre Montgolfieren,1983,0,Dice Rolling,Aviation / Flight
2806,U-Boat,1959,5.50271,Action Queue,Nautical
2807,Catan: 5-6 Player Extension,1996,6.69689,Dice Rolling,Expansion for Base-game
2809,Star Force Terra #1: Contact!,1991,5.53654,Variable Player Powers,Card Game
2810,Checkpoint: Danger!,1978,0,Secret Unit Deployment,Deduction
2811,Blind Justice,1989,5.47407,Dice Rolling,Bluffing
2813,Scrabble Duplicate Crossword Game,1975,0,Paper-and-Pencil,Party Game
2815,Chutes à gogo,1992,0,Not available,Action / Dexterity
2817,Delta V,2001,5.43979,Not available,Memory
2819,Trivial Pursuit: Genus 5,2000,5.49912,Roll / Spin and Move,Party Game
2820,Astromagie,2001,0,Not available,Card Game
2822,Uräus,1993,0,Roll / Spin and Move,Abstract Strategy
2823,Finish Lines,1997,5.48241,Cooperative Game,Party Game
2824,Sixteen Thirty Something,1995,5.5381,Secret Unit Deployment,Negotiation
2826,Jackpot Yahtzee,1980,5.52482,Dice Rolling,Dice
2828,Karnak,2000,0,Not available,Abstract Strategy
2829,Theben,1996,0,Not available,Abstract Strategy
2831,Meander,2001,0,Tile Placement,Abstract Strategy
2833,Wanted!,1999,5.50827,Not available,Action / Dexterity
2834,Not available,Not available,Not available,Not available,Not available
2836,Dragonlance Mage Stones,1990,5.52236,Dice Rolling,Abstract Strategy
2837,Ant Wars,1982,0,Area Movement,Wargame
2838,Loaded Questions,1997,5.59928,Not available,Party Game
2839,Fair Play,1997,5.51098,Roll / Spin and Move,Bluffing
2840,Heuchel und Meuchel,1990,5.48904,Tile Placement,Medieval
2842,TransAmerica,2001,6.42197,Connections,Trains
2844,Throneworld,1997,5.58424,Hexagon Grid,Science Fiction
2846,Supremacy: The Unconventional Forces,1989,5.52063,Action Points,Economic
2847,Supremacy: High-Tech Edge for Strategic Forces,1989,5.50846,Action Points,Economic
2849,Supremacy: Fortuna,1989,5.54912,Not available,Economic
2850,Supremacy: Boomers – Ballistic Missile Subs,1990,5.53114,Action Points,Economic
2851,Supremacy: Mega Map,1991,5.56458,Action Points,Economic
2852,Supremacy: Mega Supremacy – Challenge of the New World Order,1991,5.53955,Action Points,Economic
2853,Liftoff!,1989,5.60667,Dice Rolling,Science Fiction
2854,Exploration,1967,5.4984,Dice Rolling,Economic
2856,BrewMaster: The Craft Beer Game,2001,5.50465,Set Collection,Card Game
2857,Jungle Jam,2000,5.56495,Pattern Recognition,Action / Dexterity
2858,Mathable,1987,5.49514,Square Grid,Abstract Strategy
2859,Destiny,1993,0,Action Points,Fantasy
2860,Piecepack,2001,5.62962,Not available,Book
2861,Aquitaine: Strategy and the Medieval War Ride,1982,0,Dice Rolling,Medieval
2862,Mr. Bunny's Internet Startup Game,1999,0,Auction/Bidding,Card Game
2863,The Great Downhill Ski Game,1970,5.51008,Tile Placement,Sports
2865,Kersplatt!,1992,0,Not available,Card Game
2866,The London Game,1972,5.48628,Dice Rolling,Trains
2867,The Baton Races of Yaz,1984,5.49944,Grid Movement,Fantasy
2868,Eye,1987,5.46401,Set Collection,Abstract Strategy
2869,Column,2002,0,Roll / Spin and Move,Dice
2871,Kookaburra Game,2000,5.49416,Roll / Spin and Move,Animals
2873,Siege,1966,5.49731,Grid Movement,Abstract Strategy
2874,Pentagonal,2000,0,Action Points,Abstract Strategy
2876,Mage Knight Dungeons,2002,5.76524,Action Points,Adventure
2878,ThinkBlot,1997,5.38524,Paper-and-Pencil,Party Game
2879,Encore,1989,5.54934,Singing,Music
2880,Abstracts,1988,0,Cooperative Game,Deduction
2881,Panzer Grenadier,1998,5.56803,Dice Rolling,Wargame
2883,The Book of Classic Board Games,1991,5.61535,Dice Rolling,Book
2884,Pathfinder,1974,5.58291,Point to Point Movement,Abstract Strategy
2885,C.V.: A Game of the Battle of Midway,1979,5.57394,Critical Hits and Failures,Aviation / Flight
2886,Not available,Not available,Not available,Not available,Not available
2888,Starfire II,1980,5.56752,Area-Impulse,Science Fiction
2890,Supremacy: Main Battle Tanks,1990,5.54005,Action Points,Economic
2891,Starfire,1979,5.6546,Action Points,Science Fiction
2892,Starfire III: Empires,1982,5.52298,Dice Rolling,Expansion for Base-game
2894,Starfire: New Empires,1985,5.52986,Area-Impulse,Expansion for Base-game
2896,Strike It Rich,1986,0,Commodity Speculation,Economic
2897,In Pursuit,2001,5.49746,Roll / Spin and Move,Trivia
2898,Collect,1972,0,Auction/Bidding,Economic
2899,The Stock Exchange Game,1987,0,Commodity Speculation,Economic
2900,Philately,1973,0,Roll / Spin and Move,Not available
2901,GolfMania,1997,5.46196,Simultaneous Action Selection,Action / Dexterity
2902,Twilight Imperium: Armada,2001,5.55162,Tile Placement,Action / Dexterity
2904,John Prados' Third Reich,2001,5.59756,Chit-Pull System,Economic
2905,"Pancho Villa, Dead or Alive!",1994,0,Hexagon Grid,American West
2906,Jurassic Park III: The Spinosaurus Chase Game,2001,5.48409,Not available,Animals
2907,James Clavell's Tai-Pan,1981,5.51157,Auction/Bidding,Economic
2908,Not available,Not available,Not available,Not available,Not available
2910,Power Lunch,1994,5.36537,Voting,Card Game
2911,Point-Blank,1979,5.50171,Area Majority / Influence,Abstract Strategy
2912,Hounds and Jackals: Game of the Pharaohs,-2000,0,Race,Ancient
2913,Supremacy: Neutron Bombs and Killer Satellites,1988,5.54653,Not available,Expansion for Base-game
2914,Supremacy: The Middle Powers,1988,5.54522,Not available,Economic
2915,Catan Card Game: Expansion Set,2002,6.24251,Trading,Card Game
2917,Age of Chivalry,1992,5.52018,Dice Rolling,Medieval
2918,The Last Crusade,1995,5.55003,Action Points,Card Game
2920,Highway to the Kremlin: Napoleon's March on Moscow,2001,5.56618,Action Points,Napoleonic
2921,The Game of Life,1960,4.36592,Events,Children's Game
2922,Chairs,1999,5.53215,Stacking and Balancing,Action / Dexterity
2924,Mr. Ree!:  The Fireside Detective,1937,5.49487,Deduction,Deduction
2925,The Dukes of Hazzard Game,1981,5.48792,Roll / Spin and Move,Movies / TV / Radio theme
2926,The Goonies,1985,0,Roll / Spin and Move,Adventure
2928,Not available,Not available,Not available,Not available,Not available
2930,"The Game of Hoboken, New Jersey",0,0,Betting and Bluffing,Children's Game
2932,Hnefatafl,400,5.9791,Grid Movement,Abstract Strategy
2933,Ringside,1980,5.49873,Dice Rolling,Fighting
2934,Square Dance,1996,0,Not available,Abstract Strategy
2935,Tashkent Domino,1995,5.49983,Tile Placement,Abstract Strategy
2936,Dice Run,2002,5.5639,Dice Rolling,Dice
2937,Diceland,2002,5.50349,Dice Rolling,Abstract Strategy
2938,Zatre,1990,5.60872,Tile Placement,Abstract Strategy
2939,Fjord,1982,0,Hexagon Grid,Nautical
2940,A Dog's Life,2001,5.50603,Action Points,Animals
2941,Romance of the Three Kingdoms Card Game,1999,5.48259,Dice Rolling,Card Game
2942,Admirals,1972,5.50733,Grid Movement,Bluffing
2943,Lepanto,0,5.50658,Roll / Spin and Move,Abstract Strategy
2944,Halli Galli,1990,5.62982,Pattern Recognition,Action / Dexterity
2945,Teufel nochmal!,1987,0,Betting and Bluffing,Card Game
2946,Pipeline,1993,5.49609,Tile Placement,Abstract Strategy
2947,Broker,1961,5.54849,Auction/Bidding,Economic
2948,Kuh & Kompagnon,1993,0,Line Drawing,Card Game
2949,Dune: Spice Harvest,1984,5.61604,Area Majority / Influence,Bluffing
2950,Dune: The Duel,1984,5.5384,Area Majority / Influence,Bluffing
2951,Morecambe & Wise Game,1976,0,Not available,Action / Dexterity
2953,Trivial Pursuit: Genus II,1984,5.55662,Roll / Spin and Move,Expansion for Base-game
2954,Supremacy: Colonial Legions and Merchant Marine,1994,5.50242,Not available,Expansion for Base-game
2955,Mexica,2002,6.76617,Action Points,Abstract Strategy
2957,Trivial Pursuit: The 1980's,1989,5.46611,Roll / Spin and Move,Party Game
2958,Let's Buy Hollywood,1991,5.50938,Roll / Spin and Move,Movies / TV / Radio theme
2959,Scrabble Word Rummy,1987,0,Not available,Card Game
2960,Camden,2002,5.62554,Tile Placement,Abstract Strategy
2961,Confusion: Espionage and Deception in the Cold War,1992,6.12406,Grid Movement,Abstract Strategy
2963,Stockmarket,1987,5.54431,Commodity Speculation,Economic
2964,Underwriter,1987,0,Roll / Spin and Move,Economic
2965,Kendo,1976,5.55114,Point to Point Movement,Abstract Strategy
2966,Craonne,1982,0,Dice Rolling,Napoleonic
2967,Middleman,1973,0,Commodity Speculation,Economic
2968,Ka-Ching!,2001,5.69941,Auction/Bidding,Card Game
2969,Not available,Not available,Not available,Not available,Not available
2971,Kojak Detective Game,1975,5.4554,Roll / Spin and Move,Movies / TV / Radio theme
2972,Fantasy Business,2002,5.50194,Auction/Bidding,Bluffing
2973,Not available,Not available,Not available,Not available,Not available
2975,Origins of World War II,1971,5.57475,Alliances,Negotiation
2976,Men Against Fire,1982,0,Cooperative Game,Miniatures
2978,Stratego 4,1995,5.56763,Area Movement,Abstract Strategy
2979,Bionicle Adventure Game: Quest For Makuta,2001,5.3455,Modular Board,Adventure
2981,Breaking Away,1991,5.83037,Not available,Abstract Strategy
2982,Task Force,1957,0,Square Grid,Miniatures
2984,Save Doctor Lucky on Moon Base Copernicus,2002,5.52975,Team-Based Game,Bluffing
2985,Train Raider,2000,0,Crayon Rail System,Economic
2987,Pirate's Cove,2002,6.29787,Dice Rolling,Adventure
2988,Sticks & Stones,1978,5.53803,Dice Rolling,Prehistoric
2989,Instinct,1998,5.51363,Hand Management,Card Game
2990,Balanx,1993,5.48245,Not available,Abstract Strategy
2991,Mandala,1983,5.49757,Modular Board,Abstract Strategy
2992,Rythmo,1985,0,Grid Movement,Abstract Strategy
2993,Carcassonne: Expansion 1 – Inns & Cathedrals,2002,7.39717,Area Majority / Influence,Expansion for Base-game
2994,Guderian's Blitzkrieg: The Drive on Moscow,1992,5.58481,Hexagon Grid,Wargame
2995,Sniper!,1973,5.5761,Action Queue,Wargame
2996,Dodge City,1983,5.50112,Area Majority / Influence,American West
2997,Soldier Kings: The Seven Years War Worldwide,2002,5.58399,Dice Rolling,Age of Reason
2998,Reds! The Russian Civil War 1918-1921,2001,5.83325,Chit-Pull System,Civil War
2999,Gobbos' Banquet,2000,0,Action Points,Dice
3000,1806: Rossbach Avenged,1998,5.55342,Action Points,Napoleonic
3001,The Godfather Game,1971,5.51043,Dice Rolling,Card Game
3002,Circuit,1980,0,Action Points,Dice
3003,Crash Tackle Rugby Board Game,2001,5.64023,Action Points,Sports
3005,Chess for Three,1992,5.50999,Grid Movement,Abstract Strategy
3006,Pin Point,1993,0,Pattern Building,Abstract Strategy
3007,Noteability,1990,5.45335,Singing,Music
3008,Wicketz,1989,5.52031,Not available,Sports
3010,Not available,Not available,Not available,Not available,Not available
3012,Group Therapy,1969,0,Storytelling,Medical
3013,Not available,Not available,Not available,Not available,Not available
3015,Claim,1983,5.5701,Modular Board,Abstract Strategy
3016,"Stand & Die: The Battle of Borodino, 1941",1991,5.49449,Hexagon Grid,Wargame
3017,Framed!,1992,0,Set Collection,Card Game
3018,The A-Team: B.A. Lends a Hand in the Race for the Formula,1984,5.46551,Roll / Spin and Move,Children's Game
3019,Showdown Poker,1971,0,Dice Rolling,Dice
3020,Monopoly: Looney Tunes,2000,5.48604,Auction/Bidding,Economic
3022,Clue VCR Mystery Game,1985,5.53533,Memory,Deduction
3024,Realm,1973,5.53511,Not available,Abstract Strategy
3025,Questique,1990,0,Tile Placement,Word Game
3026,The Book of Medieval Wargames,1984,0,Hexagon Grid,Fighting
3027,Battle of Britain,1975,0,Action Points,Aviation / Flight
3028,By Jove,1983,5.4593,Roll / Spin and Move,Ancient
3029,Sheffield Shares,1989,0,Roll / Spin and Move,Economic
3030,Baggage Claim,1987,5.49091,Memory,Children's Game
3031,Flightplan: The Airline Game,1985,0,Pick-up and Deliver,Aviation / Flight
3032,Not available,Not available,Not available,Not available,Not available
3034,Cluedo: Super Sleuth,1995,5.53701,Modular Board,Deduction
3035,The Last Days of the Grande Armee: The Four Days of Waterloo,1998,5.53494,Dice Rolling,Napoleonic
3036,Kung Fu 2100,1980,5.5234,Grid Movement,Fighting
3037,Escape from Altassar,1982,5.50088,Dice Rolling,Science Fiction
3038,Rhombo Continuo,1998,0,Tile Placement,Abstract Strategy
3039,Swordquest,1979,5.50575,Hexagon Grid,Fantasy
3040,Star Trek: Starship Tactical Combat Simulator,1983,5.68473,Dice Rolling,Aviation / Flight
3041,Panzergruppe Guderian,1976,5.96801,Dice Rolling,Wargame
3042,Survival / The Barbarian,1979,5.48644,Dice Rolling,Adventure
3043,TurfMaster Course Collection 1,1999,5.64351,Dice Rolling,Expansion for Base-game
3044,Air Assault on Crete / Invasion of Malta: 1942,1977,5.67383,Dice Rolling,Aviation / Flight
3045,Pentantastar,1983,5.50354,Area Movement,Fantasy
3046,"Red Sun/Red Star: The Nomonhan Campaign, 1939",1993,5.50935,Dice Rolling,Wargame
3048,Trivial Pursuit: Millennium Edition,1999,5.44788,Roll / Spin and Move,Party Game
3049,Blood on the Tigris,1995,5.51025,Hexagon Grid,Wargame
3050,"Napoleon at Bay: Defend the Gates of Paris, 1814",1997,5.58768,Action Points,Napoleonic
3052,Sim City: The Card Game,1994,5.29315,Hand Management,Card Game
3053,Bonaparte in Italy,1979,5.58149,Hexagon Grid,Napoleonic
3055,Counterstrike,1976,0,Betting and Bluffing,Abstract Strategy
3056,Not available,Not available,Not available,Not available,Not available
3058,Schaumermal,2001,0,Not available,Sports
3059,Rebound,1971,5.50612,Not available,Action / Dexterity
3061,Samurai,1996,5.71725,Dice Rolling,Medieval
3062,Pyramis,1991,5.50771,Tile Placement,Abstract Strategy
3063,March Madness,1991,5.54631,Line Drawing,Sports
3064,CribbGolf,1988,5.53128,Trick-taking,Card Game
3065,Monopoly: Stock Exchange,2001,5.50488,Auction/Bidding,Economic
3066,Zone X,1975,0,Line Drawing,Abstract Strategy
3068,Komme Gleich,1996,5.47757,Hand Management,Card Game
3069,Triangle Game,2001,0,Not available,Abstract Strategy
3070,Red Parachutes: Soviet Airborne Assault Across the Dnepr,1995,5.55089,Dice Rolling,Aviation / Flight
3072,Necromunda,1995,6.30486,Dice Rolling,Fighting
3074,Uncle Wiggily,1916,5.29114,Roll / Spin and Move,Animals
3075,Hamlet!,2002,5.51434,Action Points,Card Game
3076,Puerto Rico,2002,7.77349,Action Drafting,City Building
3077,The Game of Real Life,1998,5.50415,Role Playing,Economic
3078,Knockabout,2001,5.55342,Dice Rolling,Abstract Strategy
3079,Dollars and Dibble,2001,0,Betting and Bluffing,Card Game
3080,RSVP: Vertical Crossword Game,1958,5.49011,Spelling,Word Game
3082,Deception,1975,0,Betting and Bluffing,Bluffing
3083,Submarine,1976,5.69046,Action Queue,Nautical
3085,Gang of Four,1990,6.07019,Hand Management,Card Game
3086,The Omega Virus,1992,5.79202,Elapsed Real Time Ending,Deduction
3087,Catan: Das Kartenspiel,Not available,5.58689,Not available,Not available
3089,Bounty Hunter: Shootout at the Saloon,1982,5.49585,Rock-Paper-Scissors,American West
3090,Doctor Who: The Game of Time & Space,1980,5.48601,Set Collection,Exploration
3091,The Great Game of Britain,1973,5.50719,Roll / Spin and Move,Trains
3093,Croak!,1999,5.68041,Grid Movement,Animals
3095,Star Trek: The Adventure Game,1985,5.68123,Action Points,Adventure
3096,Ascension at Firepeak,2001,5.50269,Hand Management,Card Game
3097,1849: The Game of Sicilian Railways,1998,6.31025,Auction/Bidding,Economic
3099,Gettysburg,1958,5.5146,Dice Rolling,American Civil War
3101,Der Berg ruft,1995,0,Not available,Not available
3102,Banque Fatale,1997,5.51729,Auction/Bidding,Economic
3103,Pitagoras,1996,0,Dice Rolling,Card Game
3104,Chamäleon,1990,0,Tile Placement,Animals
3106,Drei Chinesen mit dem Kontrabass,1999,0,Singing,Children's Game
3108,Goblin,1982,5.51794,Dice Rolling,Fantasy
3110,Dragon Rage,1982,5.6093,Dice Rolling,Fantasy
3112,And They're Off!,1993,5.50827,Betting and Bluffing,Racing
3113,Empire: Triumphs and Humilations for Power,1979,0,Dice Rolling,Bluffing
3115,Not available,Not available,Not available,Not available,Not available
3117,Peasantry,2001,0,Hand Management,Card Game
3118,Desert War,1989,5.76943,Campaign / Battle Card Driven,Card Game
3119,Haste Worte?,1997,5.70625,Auction/Bidding,Party Game
3120,Demono,1985,0,Tile Placement,City Building
3121,Succession,1976,0,Set Collection,Card Game
3122,Doctor Who Collectible Card Game,1996,5.41689,Not available,Card Game
3123,Trüffeln Schnüffeln,1989,0,Not available,Not available
3124,Not available,Not available,Not available,Not available,Not available
3126,Auf + Zu,1992,0,Roll / Spin and Move,Transportation
3127,Age of Empires: Expandable Card Game,2000,5.50609,Deck Construction,Card Game
3128,Clippers,2002,5.82968,Network and Route Building,Economic
3129,1876: Trinidad,1996,5.51435,Network and Route Building,Economic
3131,Isaac Asimov presents Super Quiz II,1983,0,Not available,Music
3133,Captain Park's Imaginary Polar Expedition,2002,5.58265,Hand Management,Not available
3135,GLE'X,1998,0,Modular Board,Abstract Strategy
3137,Anno Domini: Erfindungen,1999,5.78013,Not available,Bluffing
3139,Goldland,2002,5.91532,Hand Management,Exploration
3140,Sixmix,1999,5.47445,Dice Rolling,Dice
3141,The Bucket King,2002,5.85633,Hand Management,Animals
3143,Not available,Not available,Not available,Not available,Not available
3144,High Hand,1963,5.50261,Open Drafting,Abstract Strategy
3145,Paroli,1994,0,Tile Placement,Abstract Strategy
3146,El Grande: Grossinquisitor und Kolonien,1997,5.8094,Area Majority / Influence,Expansion for Base-game
3148,La Strada,1995,0,Hand Management,Card Game
3150,Taktvoll,1993,5.49731,Tile Placement,Card Game
3151,Star Fighter,1978,0,Dice Rolling,Science Fiction
3152,Star Wars: Starfighter Battle Book,1989,5.56005,Simultaneous Action Selection,Aviation / Flight
3153,Fantasy Conflict,1991,0,Not available,Card Game
3155,Lumberjack,2002,5.51365,Commodity Speculation,Abstract Strategy
3157,All-Star Baseball,1941,5.53535,Hand Management,Sports
3158,The Home Stretch,1970,5.52036,Auction/Bidding,Racing
3159,Zahltag,2002,5.51512,Auction: Sealed Bid,Card Game
3160,Holy War,1979,5.48459,Dice Rolling,Science Fiction
3162,Invasion of the Air-eaters,1979,5.54814,Dice Rolling,Science Fiction
3163,Doom of the Eldar,1993,5.58382,Area Movement,Science Fiction
3164,Rigatoni Intriganti,1997,0,Auction/Bidding,Economic
3166,Not available,Not available,Not available,Not available,Not available
3168,Alexander's Generals: The Diadochian Wars 323-281 B.C.,1992,0,Area Movement,Ancient
3169,Not available,Not available,Not available,Not available,Not available
3171,Princess of Power Game,1985,0,Roll / Spin and Move,Children's Game
3173,The World of Wall Street,1969,0,Stock Holding,Economic
3174,Titan Strike! Battle for the Moon of Saturn,1979,5.50618,Hexagon Grid,Science Fiction
3175,The ElfQuest Boardgame,1986,5.48519,Dice Rolling,Adventure
3176,Quickit,1996,0,Role Playing,Abstract Strategy
3177,Battle for Armageddon,1992,5.62125,Area Movement,Print & Play
3179,Action Test,1970,0,Not available,Action / Dexterity
3181,Farkle,1996,5.51711,Dice Rolling,Dice
3182,Vanished!,1990,5.52912,Betting and Bluffing,Math
3183,Car Wars (Fifth Edition),2002,5.55339,Dice Rolling,Racing
3184,Travellers' Tour Through the United States,1822,0,Roll / Spin and Move,Travel
3185,Not available,Not available,Not available,Not available,Not available
3187,Clue Jr. Travel Game,1994,0,Roll / Spin and Move,Children's Game
3188,Bionicle: Quest For The Masks CCG,2001,5.46867,Modular Board,Abstract Strategy
3190,Quixo,1995,5.72238,Pattern Building,Abstract Strategy
3191,Juwelenzauber,1991,0,Tile Placement,Abstract Strategy
3193,Oxford: Cambridge Boat Race,1997,0,Trick-taking,Card Game
3195,Hydra,1991,0,Tile Placement,Animals
3197,Kopf oder Knopf,1992,0,Not available,Abstract Strategy
3198,Hecht im Karpfenteich,1990,5.50925,Not available,Farming
3199,Not available,Not available,Not available,Not available,Not available
3201,Lord of the Rings: The Confrontation,2002,6.79358,Area Movement,Adventure
3202,RAF,1986,5.94418,Area Movement,Aviation / Flight
3204,PRO-GRIDIRON,1999,0,Auction/Bidding,Abstract Strategy
3205,Da geht was ab im Morgenland,1999,5.48728,Not available,Arabian
3206,Not available,Not available,Not available,Not available,Not available
