ID,Name,Year Published,Bayesian Average,Mechanic,Category
167,Dicke Kartoffeln,1989,5.54536,Commodity Speculation,Economic
168,Empire Builder,1982,6.30309,Connections,Economic
169,En Garde,1993,5.94102,Hand Management,Card Game
170,Family Business,1982,5.8406,Hand Management,Card Game
171,Chess,1475,7.01445,Grid Movement,Abstract Strategy
172,For Sale,1997,7.13409,Auction: Sealed Bid,Card Game
173,Formula Dé,1997,6.63351,Different Dice Movement,Racing
174,T-Rex,1999,5.49838,Hand Management,Card Game
175,What the Heck?,1988,6.02045,Auction: Sealed Bid,Animals
176,Give Me the Brain!,1996,5.63797,Action Points,Card Game
177,Advanced Civilization,1991,6.9773,Area Movement,Ancient
178,Mole Hill,1997,5.54445,Enclosure,Abstract Strategy
179,Nuba,1995,5.51817,Grid Movement,Abstract Strategy
180,Pool Position,1999,5.51531,Simultaneous Action Selection,Abstract Strategy
181,Risk,1959,5.46097,Area Majority / Influence,Territory Building
182,Hungry,1995,5.72077,Hand Management,Card Game
183,Stonehenge,1994,5.54904,Area Majority / Influence,Abstract Strategy
184,Not available,Not available,Not available,Not available,Not available
185,Devil Bunny Needs a Ham,1998,5.45803,Grid Movement,Abstract Strategy
186,Split,1999,5.53381,Pattern Building,Card Game
187,Not available,Not available,Not available,Not available,Not available
188,Go,-2200,7.31271,Enclosure,Abstract Strategy
189,Die Siedler von Nürnberg,1999,5.92332,Dice Rolling,Medieval
190,Dolce Vita,1999,5.5532,Auction/Bidding,Card Game
191,Not available,Not available,Not available,Not available,Not available
192,Nicht die Bohne!,1999,5.77859,Simultaneous Action Selection,Card Game
193,Fill or Bust,1981,5.55605,Dice Rolling,Dice
195,NASCAR Champions,1998,5.49733,Dice Rolling,Dice
196,Kremlin,1986,6.32707,Voting,Negotiation
197,HellRail: Second Perdition,1999,5.52255,Pick-up and Deliver,Card Game
198,Buried Treasure,1992,5.55221,Set Collection,Card Game
199,Manhattan,1994,6.38771,Area Majority / Influence,City Building
200,Entdecker,1996,5.87061,Area Majority / Influence,Exploration
201,The Rose King,1992,6.32845,Area Majority / Influence,Abstract Strategy
202,Targui,1988,5.72759,Modular Board,Arabian
