Name,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Domain1,above_average,Bayesian Average,Most Notable Genre,Most Notable Mechanic,Price,pct_rated,bayes_above_average,Year Published,Year Offset,Owned_Per_Year,ID,BGG Rank,Mechanics,Domains
Keythedral,2.0,5.0,90.0,8.0,2968.0,7.05,2.86,3481.0,Strategy Games,True,6.41,City Building,Auction/Bidding,75.0,0.85,True,2002.0,22.0,158.23,4099.0,988,"Auction/Bidding, Modular Board, Set Collection, Tile Placement, Worker Placement",Strategy Games
New York 1901,2.0,4.0,60.0,8.0,5450.0,6.83,2.05,9156.0,Family Games,True,6.45,City Building,Area Majority / Influence,5.0,0.6,True,2015.0,9.0,1017.33,174660.0,989,"Area Majority / Influence, Card Drafting, Once-Per-Game Abilities, Tile Placement",Family Games
Agra,2.0,4.0,120.0,12.0,1984.0,7.34,4.37,3422.0,Strategy Games,True,6.45,Industry / Manufacturing,Area Majority / Influence,68.9,0.58,True,2017.0,7.0,488.86,230085.0,990,"Area Majority / Influence, Trading, Worker Placement",Strategy Games
The Golden Ages,2.0,4.0,90.0,12.0,2131.0,7.28,2.89,2896.0,Strategy Games,True,6.43,Civilization,Action Points,35.0,0.74,True,2014.0,10.0,289.6,164338.0,991,"Action Points, Area Majority / Influence, Card Drafting, Modular Board, Square Grid, Tile Placement",Strategy Games
A Touch of Evil: The Supernatural Game,2.0,8.0,120.0,12.0,4419.0,6.97,2.56,6434.0,Thematic Games,True,6.45,Adventure,Area Movement,31.95,0.69,True,2008.0,16.0,402.12,35815.0,992,"Area Movement, Cooperative Game, Dice Rolling, Roll / Spin and Move, Variable Player Powers",Thematic Games
Reavers of Midgard,2.0,4.0,120.0,14.0,1687.0,7.52,2.88,4089.0,Strategy Games,True,6.56,Not available,Dice Rolling,50.0,0.41,True,2019.0,5.0,817.8,242684.0,993,"Card Drafting, Dice Rolling, Follow, Set Collection, Worker Placement",Strategy Games
A Game of Thrones: The Card Game,2.0,4.0,120.0,12.0,5986.0,6.85,3.25,10146.0,Customizable Games,True,6.43,Card Game,Hand Management,24.99,0.59,True,2008.0,16.0,634.12,39953.0,994,"Card Drafting, Hand Management, Simultaneous Action Selection, Variable Player Powers","Customizable Games, Strategy Games"
Santiago de Cuba,2.0,4.0,75.0,10.0,4232.0,6.91,2.15,4506.0,Family Games,True,6.43,Economic,Commodity Speculation,24.95,0.94,True,2011.0,13.0,346.62,104347.0,995,"Commodity Speculation, Dice Rolling, Memory, Modular Board, Pick-up and Deliver, Point to Point Movement, Worker Placement","Family Games, Strategy Games"
Arkadia,2.0,4.0,60.0,10.0,4095.0,6.92,2.57,4347.0,Strategy Games,True,6.44,City Building,Area Majority / Influence,28.99,0.94,True,2006.0,18.0,241.5,25643.0,996,"Area Majority / Influence, Set Collection, Stock Holding, Tile Placement",Strategy Games
Beyond the Sun,2.0,4.0,120.0,14.0,979.0,8.19,3.06,1817.0,Strategy Games,True,7.59,Civilization,Area Majority / Influence,54.99,0.54,True,2020.0,4.0,454.25,317985.0,997,"Action Drafting, Events, Point to Point Movement, Tech Trees / Tech Tracks, Worker Placement",Strategy Games
Explorers of the North Sea,1.0,4.0,60.0,12.0,2093.0,7.34,2.16,4526.0,Strategy Games,True,6.56,Animals,Action Points,42.95,0.46,True,2016.0,8.0,565.75,176371.0,998,"Action Points, Area Majority / Influence, Grid Movement, Modular Board, Pick-up and Deliver, Set Collection, Tile Placement, Variable Player Powers",Strategy Games
Liberty or Death: The American Insurrection,1.0,4.0,360.0,14.0,1274.0,7.84,4.06,3680.0,Wargames,True,6.43,Age of Reason,Area Majority / Influence,81.9,0.35,True,2016.0,8.0,460.0,165872.0,999,"Area Majority / Influence, Dice Rolling, Simulation, Solo / Solitaire Game, Variable Phase Order, Variable Player Powers",Wargames
Java,2.0,4.0,120.0,12.0,3333.0,7.01,3.39,4902.0,Strategy Games,True,6.42,City Building,Action Points,20.0,0.68,True,2000.0,24.0,204.25,855.0,1000,"Action Points, Area Majority / Influence, Tile Placement",Strategy Games
Merchant of Venus,1.0,6.0,180.0,12.0,2650.0,7.14,2.83,3275.0,Strategy Games,True,6.41,Economic,Commodity Speculation,35.0,0.81,True,1988.0,36.0,90.97,230.0,1001,"Commodity Speculation, Dice Rolling, Movement Points, Pick-up and Deliver, Point to Point Movement, Roll / Spin and Move, Trading, Variable Set-up",Strategy Games
Catacombs,2.0,5.0,60.0,12.0,2892.0,7.08,1.95,3457.0,Thematic Games,True,6.39,Action / Dexterity,Flicking,49.99,0.84,True,2010.0,14.0,246.93,57390.0,1002,"Flicking, Player Elimination, Role Playing, Team-Based Game, Variable Player Powers",Thematic Games
Jump Drive,2.0,4.0,30.0,13.0,3221.0,7.02,2.05,5000.0,Family Games,True,6.54,Card Game,Hand Management,24.99,0.64,True,2017.0,7.0,714.29,205597.0,1003,"Hand Management, Simultaneous Action Selection","Family Games, Strategy Games"
Liberté,3.0,6.0,90.0,14.0,2605.0,7.13,3.31,3619.0,Strategy Games,True,6.4,Napoleonic,Area Majority / Influence,43.0,0.72,True,1998.0,26.0,139.19,2507.0,1004,"Area Majority / Influence, Auction/Bidding, Card Drafting, Hand Management",Strategy Games
Kraftwagen,2.0,4.0,75.0,10.0,2091.0,7.26,2.84,3438.0,Strategy Games,True,6.46,Economic,Rondel,29.99,0.61,True,2015.0,9.0,382.0,171879.0,1005,"Rondel, Set Collection, Time Track",Strategy Games
Crisis,1.0,5.0,120.0,14.0,1524.0,7.58,3.06,2545.0,Strategy Games,True,6.47,Economic,Commodity Speculation,80.0,0.6,True,2016.0,8.0,318.12,128721.0,1006,"Commodity Speculation, Worker Placement",Strategy Games
Council of 4,2.0,4.0,75.0,10.0,2405.0,7.18,2.54,3554.0,Strategy Games,True,6.45,Economic,Hand Management,43.0,0.68,True,2015.0,9.0,394.89,173101.0,1007,"Hand Management, Network and Route Building, Point to Point Movement",Strategy Games
Mythos Tales,1.0,10.0,120.0,13.0,1835.0,7.44,2.21,4700.0,Thematic Games,True,6.46,Deduction,Cooperative Game,39.95,0.39,True,2016.0,8.0,587.5,126100.0,1008,"Cooperative Game, Solo / Solitaire Game, Storytelling",Thematic Games
Guildhall,2.0,4.0,45.0,10.0,3917.0,6.92,2.07,4609.0,Family Games,True,6.41,Card Game,Hand Management,29.95,0.85,True,2012.0,12.0,384.08,132372.0,1009,"Hand Management, Set Collection, Take That","Family Games, Strategy Games"
Rallyman,1.0,4.0,45.0,9.0,2406.0,7.21,2.16,3034.0,Family Games,True,6.39,Racing,Dice Rolling,34.0,0.79,True,2009.0,15.0,202.27,60435.0,1010,"Dice Rolling, Modular Board, Push Your Luck, Race, Simulation, Solo / Solitaire Game","Family Games, Thematic Games"
Blokus Duo,2.0,2.0,15.0,5.0,5107.0,6.84,1.7,7824.0,Abstract Games,True,6.46,Abstract Strategy,Enclosure,16.99,0.65,True,2005.0,19.0,411.79,16395.0,1011,"Enclosure, Grid Coverage, Hand Management, Square Grid, Tile Placement",Abstract Games
The Werewolves of Miller's Hollow,8.0,18.0,30.0,10.0,9874.0,6.74,1.32,16343.0,Party Games,True,6.43,Bluffing,Hidden Roles,6.0,0.6,True,2001.0,23.0,710.57,25821.0,1013,"Player Elimination, Role Playing, Team-Based Game, Variable Player Powers, Voting",Party Games
Encore!,1.0,6.0,20.0,8.0,3256.0,7.02,1.15,5924.0,Family Games,True,6.51,Dice,Dice Rolling,19.95,0.55,True,2016.0,8.0,740.5,206931.0,1014,"Dice Rolling, Paper-and-Pencil, Solo / Solitaire Game",Family Games
The Game,1.0,5.0,20.0,8.0,8490.0,6.71,1.26,13372.0,Family Games,True,6.51,Card Game,Communication Limits,16.95,0.63,True,2015.0,9.0,1485.78,173090.0,1015,"Communication Limits, Cooperative Game, Hand Management, Solo / Solitaire Game",Family Games
Medieval Academy,2.0,5.0,30.0,8.0,3545.0,6.95,1.81,5281.0,Family Games,True,6.44,Card Game,Area Majority / Influence,26.0,0.67,True,2014.0,10.0,528.1,154386.0,1016,"Area Majority / Influence, Card Drafting, Hand Management, Modular Board, Simultaneous Action Selection, Variable Set-up",Family Games
Stick 'Em,3.0,8.0,60.0,10.0,2934.0,7.03,1.94,4187.0,Strategy Games,True,6.49,Card Game,Hand Management,6.0,0.7,True,1993.0,31.0,135.06,354.0,1017,"Hand Management, Trick-taking",Strategy Games
Dungeon Twister,2.0,2.0,60.0,11.0,5754.0,6.82,2.89,7595.0,Strategy Games,True,6.44,Adventure,Action Points,14.99,0.76,True,2004.0,20.0,379.75,12995.0,1018,"Action Points, Grid Movement, Hand Management, Map Deformation, Modular Board, Secret Unit Deployment, Variable Player Powers",Strategy Games
Viceroy,1.0,4.0,60.0,13.0,5074.0,6.83,2.65,9015.0,Strategy Games,True,6.42,Bluffing,Auction: Sealed Bid,45.0,0.56,True,2014.0,10.0,901.5,157526.0,1019,"Auction: Sealed Bid, Card Drafting, Hand Management, Memory, Set Collection, Tile Placement",Strategy Games
Medina,3.0,4.0,60.0,10.0,2941.0,7.04,2.79,3797.0,Abstract Games,True,6.42,Abstract Strategy,Grid Coverage,20.0,0.77,True,2001.0,23.0,165.09,1261.0,1020,Tile Placement,"Abstract Games, Strategy Games"
Dungeon Fighter,1.0,6.0,60.0,14.0,5853.0,6.82,1.75,8115.0,Party Games,True,6.46,Action / Dexterity,Cooperative Game,34.95,0.72,True,2011.0,13.0,624.23,102548.0,1021,"Card Drafting, Cooperative Game, Dice Rolling, Drafting, Modular Board, Point to Point Movement, Turn Order: Progressive, Variable Player Powers, Variable Set-up",Party Games
Ecos: First Continent,2.0,6.0,75.0,14.0,2365.0,7.18,2.62,3457.0,Family Games,True,6.57,Animals,Bingo,59.9,0.68,True,2019.0,5.0,691.4,279254.0,1022,"Bingo, Modular Board, Set Collection, Simultaneous Action Selection, Tile Placement","Family Games, Strategy Games"
Rattus,2.0,4.0,45.0,10.0,5676.0,6.79,2.06,5846.0,Family Games,True,6.44,Animals,Area Majority / Influence,20.0,0.97,True,2010.0,14.0,417.57,42452.0,1023,"Area Majority / Influence, Area Movement, Variable Player Powers","Family Games, Strategy Games"
Ponzi Scheme,3.0,5.0,90.0,12.0,2321.0,7.19,2.47,2643.0,Strategy Games,True,6.46,Economic,Loans,120.0,0.88,True,2015.0,9.0,293.67,180899.0,1024,"Set Collection, Trading",Strategy Games
Escape from the Aliens in Outer Space,2.0,8.0,45.0,12.0,3878.0,6.93,1.87,6838.0,Thematic Games,True,6.48,Horror,Grid Movement,19.9,0.57,True,2010.0,14.0,488.43,82168.0,1025,"Grid Movement, Hexagon Grid, Hidden Movement, Hidden Roles, Paper-and-Pencil, Secret Unit Deployment, Team-Based Game, Variable Player Powers",Thematic Games
Last Bastion,1.0,4.0,45.0,14.0,1468.0,7.67,2.54,2892.0,Strategy Games,True,6.67,Fantasy,Cooperative Game,44.9,0.51,True,2019.0,5.0,578.4,285984.0,1026,"Cooperative Game, Dice Rolling, Die Icon Resolution, Grid Movement, Modular Board, Move Through Deck, Player Elimination, Solo / Solitaire Game, Square Grid, Variable Player Powers, Variable Set-up",Strategy Games
Cockroach Poker,2.0,6.0,20.0,8.0,8657.0,6.71,1.12,13790.0,Party Games,True,6.6,Bluffing,Hand Management,9.9,0.63,True,2004.0,20.0,689.5,11971.0,1027,"Hand Management, Set Collection, Single Loser Game",Party Games
Tiny Epic Zombies,1.0,5.0,45.0,14.0,3705.0,7.03,2.43,11355.0,Thematic Games,True,6.48,Horror,Area Majority / Influence,40.0,0.33,True,2018.0,6.0,1892.5,244536.0,1028,"Area Majority / Influence, Cooperative Game, Dice Rolling, Modular Board, Pick-up and Deliver, Push Your Luck, Team-Based Game, Variable Player Powers",Thematic Games
Heroes of Normandie,2.0,2.0,60.0,14.0,1931.0,7.49,2.74,4439.0,Wargames,True,6.38,Wargame,Action Queue,48.95,0.44,True,2014.0,10.0,443.9,53093.0,1029,"Action Queue, Dice Rolling, Grid Movement, Hand Management, Modular Board, Simulation, Square Grid, Variable Player Powers",Wargames
Carcassonne: Winter Edition,2.0,5.0,40.0,8.0,1674.0,7.49,1.83,3329.0,Family Games,True,6.43,City Building,Area Majority / Influence,18.0,0.5,True,2012.0,12.0,277.42,131014.0,1030,"Area Majority / Influence, Tile Placement",Family Games
Poker,2.0,10.0,60.0,12.0,9276.0,6.72,2.45,7978.0,Strategy Games,True,6.47,Bluffing,Betting and Bluffing,5.0,1.16,True,1810.0,214.0,37.28,1115.0,1031,"Betting and Bluffing, Player Elimination, Set Collection",Strategy Games
Evo,3.0,5.0,120.0,12.0,4375.0,6.87,2.34,3929.0,Family Games,True,6.41,Animals,Area Majority / Influence,16.0,1.11,True,2001.0,23.0,170.83,1159.0,1032,"Area Majority / Influence, Area Movement, Auction/Bidding, Dice Rolling, Hand Management, Turn Order: Stat-Based, Variable Player Powers, Victory Points as a Resource","Family Games, Strategy Games"
Evo,3.0,5.0,120.0,12.0,4375.0,6.87,2.34,3929.0,Family Games,True,6.41,Animals,Area Majority / Influence,16.0,1.11,True,2001.0,23.0,170.83,23228.0,16876,Area Movement,Abstract Games
Evo,3.0,5.0,120.0,12.0,4375.0,6.87,2.34,3929.0,Family Games,True,6.41,Animals,Area Majority / Influence,16.0,1.11,True,0.0,2024.0,1.94,1159.0,1032,"Area Majority / Influence, Area Movement, Auction/Bidding, Dice Rolling, Hand Management, Turn Order: Stat-Based, Variable Player Powers, Victory Points as a Resource","Family Games, Strategy Games"
Evo,3.0,5.0,120.0,12.0,4375.0,6.87,2.34,3929.0,Family Games,True,6.41,Animals,Area Majority / Influence,16.0,1.11,True,0.0,2024.0,1.94,23228.0,16876,Area Movement,Abstract Games
Evo,2.0,4.0,30.0,8.0,33.0,5.72,2.0,35.0,Abstract Games,False,5.49,Abstract Strategy,Area Movement,15.5,0.94,False,2001.0,23.0,1.52,1159.0,1032,"Area Majority / Influence, Area Movement, Auction/Bidding, Dice Rolling, Hand Management, Turn Order: Stat-Based, Variable Player Powers, Victory Points as a Resource","Family Games, Strategy Games"
Evo,2.0,4.0,30.0,8.0,33.0,5.72,2.0,35.0,Abstract Games,False,5.49,Abstract Strategy,Area Movement,15.5,0.94,False,2001.0,23.0,1.52,23228.0,16876,Area Movement,Abstract Games
Evo,2.0,4.0,30.0,8.0,33.0,5.72,2.0,35.0,Abstract Games,False,5.49,Abstract Strategy,Area Movement,15.5,0.94,False,0.0,2024.0,0.02,1159.0,1032,"Area Majority / Influence, Area Movement, Auction/Bidding, Dice Rolling, Hand Management, Turn Order: Stat-Based, Variable Player Powers, Victory Points as a Resource","Family Games, Strategy Games"
Evo,2.0,4.0,30.0,8.0,33.0,5.72,2.0,35.0,Abstract Games,False,5.49,Abstract Strategy,Area Movement,15.5,0.94,False,0.0,2024.0,0.02,23228.0,16876,Area Movement,Abstract Games
Castle Panic,1.0,6.0,60.0,10.0,14286.0,6.65,1.66,23966.0,Family Games,True,6.47,Fantasy,Campaign / Battle Card Driven,23.95,0.6,True,2009.0,15.0,1597.73,43443.0,1033,"Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Hand Management, Solo / Solitaire Game, Trading",Family Games
Hostage Negotiator,1.0,1.0,20.0,13.0,4205.0,6.9,1.99,8152.0,Thematic Games,True,6.43,Card Game,Critical Hits and Failures,20.0,0.52,True,2015.0,9.0,905.78,134253.0,1034,"Card Drafting, Dice Rolling, Hand Management, Solo / Solitaire Game",Thematic Games
Elfenland,2.0,6.0,60.0,10.0,8086.0,6.71,2.16,9802.0,Family Games,True,6.43,Fantasy,Hand Management,22.0,0.82,True,1998.0,26.0,377.0,10.0,1035,"Card Drafting, Hand Management, Network and Route Building, Point to Point Movement",Family Games
Thunderbirds,1.0,4.0,60.0,10.0,1694.0,7.56,2.49,3440.0,Thematic Games,True,6.43,Adventure,Action Points,49.95,0.49,True,2015.0,9.0,382.22,160610.0,1036,"Action Points, Area Movement, Cooperative Game, Dice Rolling, Pick-up and Deliver, Variable Player Powers",Thematic Games
BattleTech,2.0,20.0,90.0,12.0,3369.0,7.05,3.41,4968.0,Thematic Games,True,6.44,Collectible Components,Dice Rolling,20.0,0.68,True,1985.0,39.0,127.38,1540.0,1037,"Dice Rolling, Hexagon Grid, Movement Points, Role Playing, Simulation, Variable Player Powers","Thematic Games, Wargames"
Dark Moon,3.0,7.0,75.0,12.0,3117.0,7.01,2.35,4482.0,Thematic Games,True,6.4,Bluffing,Dice Rolling,41.0,0.7,True,2011.0,13.0,344.77,111124.0,1038,"Dice Rolling, Role Playing, Team-Based Game, Traitor Game, Variable Player Powers",Thematic Games
Rialto,2.0,5.0,45.0,10.0,3750.0,6.91,2.54,4502.0,Strategy Games,True,6.42,Political,Area Majority / Influence,29.95,0.83,True,2013.0,11.0,409.27,119591.0,1039,"Area Majority / Influence, Auction/Bidding, Card Drafting",Strategy Games
Irish Gauge,3.0,5.0,60.0,12.0,1738.0,7.38,2.41,3140.0,Strategy Games,True,6.56,Economic,Auction/Bidding,95.0,0.55,True,2014.0,10.0,314.0,161882.0,1040,"Auction/Bidding, Hexagon Grid, Income, Investment, Network and Route Building, Random Production, Stock Holding, Victory Points as a Resource",Strategy Games
Ulm,2.0,4.0,75.0,10.0,2756.0,7.06,2.68,3908.0,Strategy Games,True,6.42,Medieval,Area Majority / Influence,23.99,0.71,True,2016.0,8.0,488.5,191876.0,1041,"Area Majority / Influence, Bias, Set Collection, Slide/Push, Victory Points as a Resource",Strategy Games
Insider,4.0,8.0,15.0,9.0,2689.0,7.08,1.07,4736.0,Party Games,True,6.53,Bluffing,Hidden Roles,55.0,0.57,True,2016.0,8.0,592.0,206051.0,1042,"Cooperative Game, Hidden Roles, Team-Based Game, Voting",Party Games
Rise of Tribes,2.0,4.0,60.0,10.0,2207.0,7.26,2.16,4424.0,Strategy Games,True,6.42,Civilization,Area Majority / Influence,99.99,0.5,True,2018.0,6.0,737.33,202583.0,1043,"Area Majority / Influence, Dice Rolling, Modular Board, Variable Player Powers",Strategy Games
Eat Poop You Cat,3.0,99.0,20.0,0.0,1589.0,7.45,1.11,803.0,Party Games,True,6.38,Humor,Drawing,900.0,1.98,True,0.0,2024.0,0.4,30618.0,1044,Paper-and-Pencil,Party Games
Fallout,1.0,4.0,180.0,14.0,5435.0,6.94,2.99,11828.0,Thematic Games,True,6.51,Adventure,Action Points,56.99,0.46,True,2017.0,7.0,1689.71,232918.0,1045,"Action Points, Area Movement, Dice Rolling, Hand Management, Modular Board, Role Playing, Storytelling, Variable Player Powers",Thematic Games
Fire & Axe: A Viking Saga,2.0,5.0,90.0,12.0,3021.0,7.0,2.67,4330.0,Strategy Games,True,6.39,Medieval,Action Points,43.0,0.7,True,2004.0,20.0,216.5,12495.0,1046,"Action Points, Area Movement, Dice Rolling, Pick-up and Deliver",Strategy Games
Sylvion,1.0,2.0,30.0,10.0,2575.0,7.11,2.05,6114.0,Strategy Games,True,6.41,Animals,Card Play Conflict Resolution,12.0,0.42,True,2015.0,9.0,679.33,143405.0,1047,"Card Drafting, Card Play Conflict Resolution, Cooperative Game, Events, Grid Movement, Hand Management, Interrupts, Solo / Solitaire Game",Strategy Games
Fireball Island: The Curse of Vul-Kar,2.0,4.0,60.0,7.0,4175.0,6.93,1.52,9598.0,Family Games,True,6.37,Action / Dexterity,Action Points,51.99,0.43,True,2018.0,6.0,1599.67,233020.0,1049,"Action Points, Action Queue, Area Movement, Pick-up and Deliver, Push Your Luck, Set Collection, Take That",Family Games
Circadians: First Light,1.0,4.0,90.0,12.0,1280.0,7.75,3.43,2515.0,Strategy Games,True,6.7,Dice,Contracts,54.99,0.51,True,2019.0,5.0,503.0,264052.0,1050,"Contracts, Dice Rolling, Events, Secret Unit Deployment, Set Collection, Variable Player Powers, Worker Placement, Worker Placement with Dice Workers",Strategy Games
Ubongo,1.0,4.0,25.0,8.0,7804.0,6.71,1.54,9793.0,Abstract Games,True,6.44,Puzzle,Grid Coverage,30.0,0.8,True,2003.0,21.0,466.33,16986.0,1051,"Grid Coverage, Pattern Building, Set Collection","Abstract Games, Family Games"
"The Hunters: German U-Boats at War, 1939-43",1.0,2.0,120.0,12.0,1407.0,7.78,2.58,3538.0,Wargames,True,6.42,Nautical,Dice Rolling,23.99,0.4,True,2013.0,11.0,321.64,113873.0,1052,"Dice Rolling, Paper-and-Pencil, Push Your Luck, Simulation, Solo / Solitaire Game",Wargames
Street Masters,1.0,4.0,120.0,14.0,980.0,8.25,2.88,1875.0,Thematic Games,True,6.43,Adventure,Cooperative Game,200.0,0.52,True,2018.0,6.0,312.5,218421.0,1053,"Cooperative Game, Dice Rolling, Events, Grid Movement, Hand Management, Hexagon Grid, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers, Variable Set-up",Thematic Games
Outfoxed!,2.0,4.0,15.0,5.0,2386.0,7.19,1.1,4972.0,Children's Games,True,6.58,Children's Game,Cooperative Game,12.99,0.48,True,2014.0,10.0,497.2,172931.0,1054,"Cooperative Game, Deduction, Dice Rolling, Die Icon Resolution, Grid Movement, Memory, Pattern Recognition, Square Grid, Team-Based Game",Children's Games
Outfoxed!,2.0,4.0,15.0,5.0,2386.0,7.19,1.1,4972.0,Children's Games,True,6.58,Children's Game,Cooperative Game,12.99,0.48,True,2017.0,7.0,710.29,172931.0,1054,"Cooperative Game, Deduction, Dice Rolling, Die Icon Resolution, Grid Movement, Memory, Pattern Recognition, Square Grid, Team-Based Game",Children's Games
Outfoxed!,2.0,2.0,20.0,7.0,38.0,7.21,0.0,203.0,other,True,5.55,Animals,Area Majority / Influence,15.5,0.19,True,2014.0,10.0,20.3,172931.0,1054,"Cooperative Game, Deduction, Dice Rolling, Die Icon Resolution, Grid Movement, Memory, Pattern Recognition, Square Grid, Team-Based Game",Children's Games
Outfoxed!,2.0,2.0,20.0,7.0,38.0,7.21,0.0,203.0,other,True,5.55,Animals,Area Majority / Influence,15.5,0.19,True,2017.0,7.0,29.0,172931.0,1054,"Cooperative Game, Deduction, Dice Rolling, Die Icon Resolution, Grid Movement, Memory, Pattern Recognition, Square Grid, Team-Based Game",Children's Games
Axis & Allies Europe 1940,2.0,6.0,360.0,12.0,1877.0,7.56,3.5,3797.0,Wargames,True,6.42,Economic,Area Majority / Influence,59.95,0.49,True,2010.0,14.0,271.21,61692.0,1055,"Area Majority / Influence, Area Movement, Dice Rolling, Team-Based Game",Wargames
The Magic Labyrinth,2.0,4.0,30.0,6.0,4874.0,6.83,1.24,8593.0,Children's Games,True,6.44,Children's Game,Dice Rolling,36.95,0.57,True,2009.0,15.0,572.87,41916.0,1056,"Dice Rolling, Grid Movement, Memory, Network and Route Building, Roll / Spin and Move","Children's Games, Family Games"
Mega Civilization,5.0,18.0,720.0,12.0,946.0,8.25,3.69,1268.0,Strategy Games,True,6.37,Ancient,Area Movement,235.0,0.75,True,2015.0,9.0,140.89,184424.0,1057,"Area Movement, Set Collection, Trading",Strategy Games
Sentient,2.0,4.0,60.0,12.0,2019.0,7.23,2.19,2683.0,Strategy Games,True,6.44,Industry / Manufacturing,Area Majority / Influence,55.0,0.75,True,2017.0,7.0,383.29,223855.0,1058,"Area Majority / Influence, Card Drafting, Dice Rolling, Set Collection",Strategy Games
On Tour,1.0,4.0,20.0,7.0,2691.0,7.08,1.47,4410.0,Family Games,True,6.46,Dice,Bingo,40.0,0.61,True,2019.0,5.0,882.0,251412.0,1059,"Bingo, Dice Rolling, Line Drawing, Network and Route Building, Paper-and-Pencil, Push Your Luck, Solo / Solitaire Game",Family Games
Tournay,2.0,4.0,60.0,12.0,2933.0,7.0,2.9,4222.0,Strategy Games,True,6.38,Card Game,End Game Bonuses,27.0,0.69,True,2011.0,13.0,324.77,105037.0,1061,"Card Drafting, Hand Management, Worker Placement",Strategy Games
Titan,2.0,6.0,240.0,12.0,3863.0,6.96,3.46,5536.0,Thematic Games,True,6.39,Fantasy,Dice Rolling,110.0,0.7,True,1980.0,44.0,125.82,103.0,1062,"Dice Rolling, Minimap Resolution, Player Elimination, Roll / Spin and Move, Secret Unit Deployment, Set Collection","Thematic Games, Wargames"
Titan,2.0,6.0,240.0,12.0,3863.0,6.96,3.46,5536.0,Thematic Games,True,6.39,Fantasy,Dice Rolling,110.0,0.7,True,2020.0,4.0,1384.0,103.0,1062,"Dice Rolling, Minimap Resolution, Player Elimination, Roll / Spin and Move, Secret Unit Deployment, Set Collection","Thematic Games, Wargames"
Titan,2.0,4.0,120.0,14.0,30.0,6.89,3.7,39.0,other,True,5.6,Industry / Manufacturing,Network and Route Building,111.0,0.77,True,1980.0,44.0,0.89,103.0,1062,"Dice Rolling, Minimap Resolution, Player Elimination, Roll / Spin and Move, Secret Unit Deployment, Set Collection","Thematic Games, Wargames"
Titan,2.0,4.0,120.0,14.0,30.0,6.89,3.7,39.0,other,True,5.6,Industry / Manufacturing,Network and Route Building,111.0,0.77,True,2020.0,4.0,9.75,103.0,1062,"Dice Rolling, Minimap Resolution, Player Elimination, Roll / Spin and Move, Secret Unit Deployment, Set Collection","Thematic Games, Wargames"
Royals,2.0,5.0,60.0,10.0,2304.0,7.15,2.23,3185.0,Family Games,True,6.44,Not available,Area Majority / Influence,28.5,0.72,True,2014.0,10.0,318.5,165986.0,1063,"Area Majority / Influence, Card Drafting, Set Collection","Family Games, Strategy Games"
Ticket to Ride: London,2.0,4.0,15.0,8.0,2067.0,7.24,1.2,5407.0,Family Games,True,6.58,Trains,Hand Management,18.95,0.38,True,2019.0,5.0,1081.4,276894.0,1064,"Card Drafting, Hand Management, Network and Route Building, Set Collection",Family Games
Wings of War: Famous Aces,2.0,4.0,30.0,10.0,4616.0,6.86,1.74,5671.0,Wargames,True,6.4,Aviation / Flight,Action Queue,24.95,0.81,True,2004.0,20.0,283.55,9203.0,1065,"Action Queue, Movement Template, Player Elimination, Programmed Movement, Scenario / Mission / Campaign Game, Simulation, Simultaneous Action Selection, Team-Based Game, Three Dimensional Movement",Wargames
Villages of Valeria,1.0,5.0,60.0,14.0,2767.0,7.07,2.36,5284.0,Strategy Games,True,6.38,Card Game,Follow,29.95,0.52,True,2017.0,7.0,754.86,180040.0,1066,"Follow, Hand Management, Variable Player Powers",Strategy Games
Trails of Tucana,1.0,8.0,15.0,8.0,1504.0,7.48,1.34,2541.0,Family Games,True,6.78,Exploration,Bingo,17.0,0.59,True,2019.0,5.0,508.2,283864.0,1067,"Bingo, Line Drawing, Network and Route Building, Paper-and-Pencil",Family Games
XenoShyft: Onslaught,1.0,4.0,60.0,13.0,3336.0,6.96,2.66,5697.0,Strategy Games,True,6.37,Card Game,Cooperative Game,75.0,0.59,True,2015.0,9.0,633.0,159109.0,1068,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Variable Player Powers","Strategy Games, Thematic Games"
Advanced Squad Leader: Starter Kit #2,2.0,2.0,180.0,12.0,1147.0,7.93,3.79,3043.0,Wargames,True,6.37,Wargame,Dice Rolling,32.9,0.38,True,2005.0,19.0,160.16,15126.0,1069,"Dice Rolling, Hexagon Grid, Simulation",Wargames
Detective: City of Angels,1.0,5.0,150.0,14.0,1031.0,8.0,2.39,2789.0,Thematic Games,True,6.84,Murder/Mystery,Action Points,109.99,0.37,True,2019.0,5.0,557.8,218074.0,1070,"Action Points, Area Movement, Cooperative Game, Team-Based Game",Thematic Games
Betrayal at Baldur's Gate,3.0,6.0,60.0,12.0,2797.0,7.15,2.55,6759.0,Thematic Games,True,6.45,Adventure,Dice Rolling,49.99,0.41,True,2017.0,7.0,965.57,228660.0,1071,"Cooperative Game, Dice Rolling, Modular Board, Role Playing, Storytelling, Team-Based Game, Traitor Game, Variable Player Powers",Thematic Games
