Name,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Domain1,above_average,Bayesian Average,Most Notable Genre,Most Notable Mechanic,Price,pct_rated,bayes_above_average,Year Published,Year Offset,Owned_Per_Year,ID,BGG Rank,Mechanics,Domains
Shattered States,2.0,6.0,120.0,0.0,47.0,6.56,2.29,117.0,Wargames,True,5.52,Wargame,Area Movement,25.0,0.4,False,1990.0,34.0,3.44,5723.0,12559,Area Movement,Wargames
Mississippi,2.0,6.0,45.0,10.0,155.0,5.85,2.11,351.0,Abstract Games,False,5.53,Abstract Strategy,Dice Rolling,24.0,0.44,False,1987.0,37.0,9.49,1816.0,12560,Dice Rolling,Abstract Games
Fleets 2025: East China Sea,2.0,2.0,60.0,12.0,40.0,6.77,1.89,144.0,Wargames,True,5.52,Modern Warfare,Campaign / Battle Card Driven,13.0,0.28,False,2008.0,16.0,9.0,37392.0,12565,"Campaign / Battle Card Driven, Hexagon Grid, Movement Points",Wargames
Korea: Fire and Ice,1.0,4.0,600.0,12.0,33.0,7.06,2.86,166.0,Wargames,True,5.53,Korean War,Chit-Pull System,81.99,0.2,False,2018.0,6.0,27.67,249650.0,12575,"Chit-Pull System, Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Zone of Control",Wargames
The Big Push: The Battle of the Somme,2.0,3.0,180.0,12.0,52.0,6.43,3.0,364.0,Wargames,False,5.52,Wargame,Dice Rolling,28.0,0.14,False,2005.0,19.0,19.16,13979.0,12579,"Dice Rolling, Simulation",Wargames
American Civil War 1861-1865,2.0,2.0,720.0,12.0,68.0,6.28,3.33,336.0,Wargames,False,5.52,American Civil War,Dice Rolling,12.0,0.2,False,1983.0,41.0,8.2,5964.0,12583,"Dice Rolling, Hexagon Grid, Simulation",Wargames
"Red God of War: The Soviet Operation Mars, 1942",2.0,2.0,120.0,14.0,67.0,6.31,2.71,348.0,Wargames,False,5.53,Wargame,Chit-Pull System,6.5,0.19,False,2005.0,19.0,18.32,20054.0,12586,"Chit-Pull System, Hexagon Grid",Wargames
Quandary,2.0,2.0,20.0,10.0,60.0,6.39,2.17,149.0,Abstract Games,False,5.52,Abstract Strategy,Point to Point Movement,18.0,0.4,False,1970.0,54.0,2.76,12319.0,12590,Point to Point Movement,Abstract Games
Soldier King,2.0,4.0,180.0,12.0,117.0,5.94,2.17,282.0,Wargames,False,5.52,Age of Reason,Area Movement,12.0,0.41,False,1982.0,42.0,6.71,4794.0,12592,Area Movement,Wargames
Monster Mash,2.0,4.0,20.0,5.0,192.0,5.79,1.0,380.0,Children's Games,False,5.54,Action / Dexterity,Pattern Recognition,25.0,0.51,False,1987.0,37.0,10.27,1744.0,12594,Pattern Recognition,Children's Games
Aachen,2.0,2.0,360.0,12.0,53.0,6.5,3.57,271.0,Wargames,True,5.53,Wargame,Dice Rolling,14.99,0.2,False,1983.0,41.0,6.61,5828.0,12595,"Dice Rolling, Hexagon Grid, Simulation",Wargames
Bodyguard Overlord,2.0,2.0,120.0,0.0,36.0,6.91,2.93,154.0,Wargames,True,5.52,Wargame,Dice Rolling,14.0,0.23,False,1994.0,30.0,5.13,4010.0,12600,"Dice Rolling, Hexagon Grid, Simulation",Wargames
Shot and Shell: Naval Combat in the Civil War,1.0,4.0,120.0,12.0,31.0,7.36,3.56,166.0,Wargames,True,5.53,American Civil War,Dice Rolling,45.0,0.19,False,1987.0,37.0,4.49,6924.0,12601,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Simulation",Wargames
"Yetisburg: Titanic Battles in History, Vol. 1",2.0,2.0,30.0,8.0,271.0,5.74,1.36,561.0,Thematic Games,False,5.53,American Civil War,Area Movement,13.0,0.48,False,2008.0,16.0,35.06,35122.0,12603,"Area Movement, Hand Management",Thematic Games
Rebels & Redcoats: Volume III,2.0,2.0,120.0,0.0,42.0,6.63,3.17,179.0,Wargames,True,5.52,Age of Reason,Dice Rolling,27.0,0.23,False,2004.0,20.0,8.95,19304.0,12606,"Dice Rolling, Hexagon Grid",Wargames
Wabanti,2.0,6.0,60.0,10.0,83.0,6.03,2.0,261.0,Abstract Games,False,5.52,Abstract Strategy,Dice Rolling,29.0,0.32,False,1974.0,50.0,5.22,3979.0,12617,Dice Rolling,Abstract Games
1792: La Patrie en Danger,2.0,2.0,0.0,12.0,31.0,7.13,3.13,96.0,Wargames,True,5.53,Napoleonic,Dice Rolling,30.0,0.32,False,1991.0,33.0,2.91,17615.0,12618,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Zone of Control",Wargames
The Last Blitzkrieg,1.0,2.0,360.0,12.0,46.0,6.74,3.11,162.0,Wargames,True,5.53,Fighting,Hexagon Grid,20.0,0.28,False,1994.0,30.0,5.4,6890.0,12621,Hexagon Grid,Wargames
Acqua Dolce,2.0,5.0,15.0,6.0,110.0,5.96,1.67,178.0,Family Games,False,5.52,Animals,Open Drafting,14.9,0.62,False,2009.0,15.0,11.87,47408.0,12623,Card Drafting,Family Games
Fateful Lightning,1.0,2.0,240.0,12.0,36.0,6.95,3.17,214.0,Wargames,True,5.52,American Civil War,Dice Rolling,16.0,0.17,False,1994.0,30.0,7.13,10038.0,12624,Hexagon Grid,Wargames
Alpha Playing Cards,1.0,6.0,30.0,10.0,39.0,6.78,2.0,71.0,Abstract Games,True,5.52,Abstract Strategy,Spelling,5.0,0.55,False,1997.0,27.0,2.63,2762.0,12625,"Auction/Bidding, Set Collection, Trick-taking","Abstract Games, Family Games"
Brandubh,2.0,2.0,20.0,0.0,37.0,6.73,3.4,66.0,Abstract Games,True,5.53,Abstract Strategy,Enclosure,25.0,0.56,False,0.0,2024.0,0.03,33692.0,12626,"Enclosure, Grid Movement, Variable Player Powers",Abstract Games
Stand at Mortain,2.0,2.0,30.0,10.0,147.0,5.88,1.54,535.0,Wargames,False,5.52,Wargame,Chit-Pull System,5.0,0.27,False,2006.0,18.0,29.72,23957.0,12629,"Chit-Pull System, Hexagon Grid, Simulation",Wargames
