Name,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Domain1,above_average,Bayesian Average,Most Notable Genre,Most Notable Mechanic,Price,pct_rated,bayes_above_average,Year Published,Owned_Bool,Year Offset,Owned_Per_Year,perYear_Bool
Quintillions,1,4,30,0,34,6.96,2.67,72,Abstract Games,True,5.53,Abstract Strategy,Tile Placement,22.0,0.47,False,1980,False,44,1.64,False
Miscellaneous Game Book,0,0,0,0,41,6.66,2.75,286,Abstract Games,True,5.52,Book,Not available,2.0,0.14,False,0,False,2024,0.14,False
Dragon Lairds,2,5,60,10,87,6.2,2.47,206,other,False,5.52,Card Game,Hand Management,19.9,0.42,False,2007,False,17,12.12,False
8 Bit Attack,1,5,90,10,74,6.15,2.71,250,other,False,5.52,Adventure,Cooperative Game,1.0,0.3,False,2019,False,5,50.0,True
Forward to Richmond!,1,4,180,12,59,6.41,3.45,238,Wargames,False,5.52,American Civil War,Dice Rolling,10.0,0.25,False,1980,False,44,5.41,False
Auf Kurs,2,6,60,12,113,5.97,2.07,286,other,False,5.53,Abstract Strategy,Action Points,20.0,0.4,False,1987,False,37,7.73,False
Rising Sun Railroads,3,4,120,12,40,6.75,3.0,137,other,True,5.52,Economic,Auction/Bidding,50.0,0.29,False,2011,False,13,10.54,False
Alakazoo,2,4,45,8,53,7.21,2.25,164,other,True,5.53,Animals,Dice Rolling,50.0,0.32,False,2018,False,6,27.33,True
"Austerlitz: The Battle of Three Emperors, 2 December 1805",2,2,180,12,74,6.35,1.92,229,Wargames,False,5.53,Napoleonic,Hexagon Grid,23.0,0.32,False,1972,False,52,4.4,False
Dodelido Extreme,2,6,20,8,36,6.95,0.0,126,other,True,5.56,Not available,Not available,13.9,0.29,True,2020,False,4,31.5,True
Tutti Frutti,2,6,10,4,99,6.05,1.0,191,other,False,5.52,Children's Game,Pattern Recognition,5.0,0.52,False,2014,False,10,19.1,False
Urban War,2,2,60,12,35,7.1,2.73,59,Wargames,True,5.52,Miniatures,Dice Rolling,15.5,0.59,False,2005,False,19,3.11,False
Guild Stack,2,4,60,12,35,7.02,3.0,50,other,True,5.53,City Building,Set Collection,75.0,0.7,False,2013,False,11,4.55,False
Super PACS,2,4,60,14,46,7.14,1.5,114,other,True,5.53,Card Game,Hand Management,15.0,0.4,False,2016,False,8,14.25,False
Katamino Duo,1,2,10,3,64,6.31,1.25,147,other,False,5.55,Abstract Strategy,Pattern Building,25.0,0.44,True,2013,False,11,13.36,False
Gunship: First Strike!,2,4,30,13,243,5.9,2.42,930,Thematic Games,False,5.52,Card Game,Action Points,57.0,0.26,False,2013,True,11,84.55,True
Age of Assassins,3,4,30,10,43,6.66,2.0,65,other,True,5.52,Card Game,Open Drafting,30.0,0.66,False,2013,False,11,5.91,False
Minecraft Card Game?,2,4,45,8,935,5.7,1.21,2674,other,False,5.5,Card Game,Open Drafting,10.49,0.35,False,2015,True,9,297.11,True
Murder Mystery Party: A Taste for Wine and Murder,6,8,180,16,36,7.02,0.0,235,other,True,5.52,Adventure,Acting,4.0,0.15,False,1997,False,27,8.7,False
Colonial Space Wars: New Horizons,2,4,30,7,39,7.81,2.4,76,Strategy Games,True,5.53,Abstract Strategy,Action Points,10.0,0.51,False,2013,False,11,6.91,False
Free Market: NYC,2,5,180,12,36,8.03,3.5,91,other,True,5.53,Economic,Action Queue,40.0,0.4,False,2020,False,4,22.75,False
Fab Fib,3,10,30,10,161,5.88,1.2,279,other,False,5.53,Bluffing,Not available,9.99,0.58,False,2004,False,20,13.95,False
Volcanic Isle,2,4,60,13,53,6.41,2.0,122,other,False,5.53,Not available,Action Points,39.8,0.43,False,2019,False,5,24.4,True
Pyramidion,2,4,60,10,143,5.95,2.6,325,other,False,5.53,Ancient,Hand Management,33.0,0.44,False,2012,True,12,27.08,True
Albion 20,2,2,50,0,31,7.23,2.0,108,Wargames,True,5.53,Napoleonic,Hexagon Grid,19.0,0.29,False,2008,False,16,6.75,False
Blood of Noble Men: The Alamo,2,2,120,12,53,6.49,2.33,138,Wargames,True,5.53,American West,Area Movement,60.0,0.38,False,2006,False,18,7.67,False
Petits meurtres & faits divers: au tribunal,4,7,45,14,33,7.02,1.0,92,other,True,5.52,Deduction,Acting,15.5,0.36,False,2013,False,11,8.36,False
HellRail: Second Perdition,3,4,75,13,97,6.08,2.0,152,other,False,5.52,Card Game,Pick-up and Deliver,15.0,0.64,False,1999,False,25,6.08,False
Die die DIE,2,5,35,8,37,7.18,1.0,63,other,True,5.53,Action / Dexterity,Area Majority / Influence,15.5,0.59,False,2017,False,7,9.0,False
Mū,1,5,35,10,89,5.93,2.0,106,other,False,5.53,City Building,Open Drafting,15.0,0.84,False,2019,False,5,21.2,False
The Battle of Tanga 1914,1,2,360,12,44,6.79,2.67,192,Wargames,True,5.53,Wargame,Dice Rolling,30.0,0.23,False,2015,False,9,21.33,False
Call My Bluff,2,6,60,10,32,7.13,0.0,42,other,True,5.52,Bluffing,Betting and Bluffing,15.5,0.76,False,1965,False,59,0.71,False
La Guerre de l'Empereur,2,7,240,12,68,6.47,3.42,226,Wargames,True,5.53,Economic,Area-Impulse,38.0,0.3,False,1997,False,27,8.37,False
Star Trek HeroClix: Tactics,2,2,60,14,108,6.22,2.33,336,other,False,5.52,Collectible Components,Action Points,15.5,0.32,False,2012,True,12,28.0,True
Word-Whiz,2,4,30,10,50,6.58,1.18,106,other,True,5.52,Action / Dexterity,Not available,1.99,0.47,False,1996,False,28,3.79,False
Kawaguchi's Gamble: Edson's Ridge - The Battle for Guadalcanal,2,2,150,0,52,6.7,3.5,355,Wargames,True,5.53,Wargame,Area Movement,35.0,0.15,False,2015,True,9,39.44,True
Venus Needs Men,2,6,90,12,98,6.13,1.88,157,other,False,5.53,Humor,Dice Rolling,20.0,0.62,False,2006,False,18,8.72,False
Vivarium,2,5,150,14,97,6.94,3.88,252,other,True,5.53,Animals,Area Majority / Influence,25.0,0.38,False,2017,False,7,36.0,True
Bankraub,3,5,90,12,64,6.38,1.6,159,other,False,5.52,Mafia,"Deck, Bag, and Pool Building",66.66,0.4,False,2013,False,11,14.45,False
Across the Board,3,7,60,0,39,6.73,1.83,94,other,True,5.52,Animals,Auction/Bidding,20.0,0.41,False,1975,False,49,1.92,False
Million Club,2,6,90,10,127,6.09,2.5,197,other,False,5.52,Economic,Action Queue,10.0,0.64,False,2016,False,8,24.62,True
Kraut & Rüben,3,5,30,8,113,5.97,1.18,228,other,False,5.53,Farming,Tile Placement,16.5,0.5,False,1998,False,26,8.77,False
This House Is Haunted,4,8,60,0,34,7.55,2.0,128,other,True,5.53,Card Game,Cooperative Game,15.5,0.27,False,2014,False,10,12.8,False
Loot,2,8,0,6,72,6.19,1.0,197,other,False,5.53,Humor,Cooperative Game,3.0,0.37,False,1992,False,32,6.16,False
Loot,2,8,0,6,72,6.19,1.0,197,other,False,5.53,Humor,Cooperative Game,3.0,0.37,False,1993,False,31,6.35,False
Kineti-Go Magnetic Shuffleboard,2,2,20,6,48,6.72,1.33,39,other,True,5.52,Action / Dexterity,Not available,65.0,1.23,False,2004,False,20,1.95,False
Burning Rome,2,4,30,14,49,6.81,1.67,195,other,True,5.52,Ancient,Action Points,35.0,0.25,False,2018,False,6,32.5,True
"Murder, She Wrote",4,6,60,10,94,6.07,2.17,345,other,False,5.53,Deduction,Roll / Spin and Move,10.0,0.27,False,1985,True,39,8.85,False
Suzerain,2,6,60,12,116,5.99,2.42,359,Strategy Games,False,5.52,Card Game,Campaign / Battle Card Driven,15.0,0.32,False,1993,True,31,11.58,False
TacTiki,2,2,30,12,31,8.52,1.29,23,Abstract Games,True,5.64,Abstract Strategy,Grid Movement,20.0,1.35,True,2021,False,3,7.67,False
Panic Tower!,2,8,20,8,160,5.95,1.0,227,other,False,5.52,Action / Dexterity,Open Drafting,11.0,0.7,False,2009,False,15,15.13,False
Fall of Berlin,1,2,20,12,41,6.85,1.86,131,Wargames,True,5.53,Wargame,Campaign / Battle Card Driven,12.5,0.31,False,1998,False,26,5.04,False
Order Up,2,4,30,6,129,6.0,1.22,267,Children's Games,False,5.53,Card Game,Area Movement,18.99,0.48,False,2009,False,15,17.8,False
Power On!,2,4,50,6,44,6.63,1.0,76,other,True,5.52,Card Game,Action Points,35.0,0.58,False,2018,False,6,12.67,False
Spicy Farkel,2,6,15,8,88,6.15,1.0,199,other,False,5.53,Dice,Dice Rolling,2.0,0.44,False,2006,False,18,11.06,False
Smithereens: The End of World War II in Europe,1,3,360,12,55,6.5,2.78,245,Wargames,True,5.53,Wargame,Dice Rolling,22.5,0.22,False,1993,False,31,7.9,False
Sitting Ducks Deluxe,3,6,20,10,72,6.22,1.0,163,other,False,5.53,Animals,Hand Management,15.5,0.44,False,2009,False,15,10.87,False
Sitting Ducks Deluxe,3,6,20,10,72,6.22,1.0,163,other,False,5.53,Animals,Hand Management,15.5,0.44,False,2015,False,9,18.11,False
Champs de bataille: Soissons 486 et Poitiers 732,2,2,60,12,47,6.65,2.4,221,Wargames,True,5.53,Ancient,Hexagon Grid,15.0,0.21,False,1996,False,28,7.89,False
Jungle Speed Electronique,3,8,15,7,91,6.07,0.0,269,other,False,5.52,Action / Dexterity,Pattern Recognition,5.0,0.34,False,2011,False,13,20.69,False
Covenant,3,5,45,10,62,6.49,0.0,119,other,True,5.52,Murder/Mystery,Hand Management,24.99,0.52,False,2016,False,8,14.88,False
Ovni,3,4,60,14,43,6.95,2.67,105,other,True,5.53,Science Fiction,Area Majority / Influence,15.5,0.41,False,2013,False,11,9.55,False
Mafia: Vendetta,7,17,20,10,107,6.11,1.75,578,other,False,5.53,Bluffing,Hidden Roles,7.49,0.19,False,2012,True,12,48.17,True
Rogue Agent,2,4,90,12,230,5.82,2.29,889,other,False,5.51,Adventure,Action Points,38.5,0.26,False,2013,True,11,80.82,True
Giant Monster Rampage,2,2,60,12,31,7.44,2.0,78,Wargames,True,5.53,Fighting,Dice Rolling,8.0,0.4,False,2002,False,22,3.55,False
First Team: Vietnam,1,1,120,12,67,6.29,3.09,325,Wargames,False,5.53,Modern Warfare,Dice Rolling,20.0,0.21,False,1986,True,38,8.55,False
Im Wald da sind die Räuber,2,4,60,10,99,6.01,1.89,196,other,False,5.52,Exploration,Modular Board,30.0,0.51,False,2008,False,16,12.25,False
Sarah's Vision,1,4,90,14,72,6.27,3.0,126,other,False,5.53,Action / Dexterity,Action Queue,45.0,0.57,False,2019,False,5,25.2,True
Dolina królików,2,4,60,6,34,7.64,2.29,57,Family Games,True,5.53,Animals,Dice Rolling,15.5,0.6,False,2019,False,5,11.4,False
Elemental Rift,2,4,30,9,72,6.26,2.2,123,other,False,5.52,Fantasy,Hand Management,30.0,0.59,False,2008,False,16,7.69,False
Gardens of Mars,2,5,90,13,39,7.32,1.75,65,Family Games,True,5.53,Abstract Strategy,Area Majority / Influence,22.0,0.6,False,2011,False,13,5.0,False
Neutron,2,2,10,0,55,6.49,2.11,70,Abstract Games,True,5.55,Abstract Strategy,Grid Movement,15.5,0.79,True,1978,False,46,1.52,False
Rebis,1,4,30,0,33,7.12,1.75,438,other,True,5.55,Card Game,Hand Management,5.0,0.08,True,2020,True,4,109.5,True
The First Crusade,1,1,0,0,34,7.12,2.5,184,Wargames,True,5.53,Ancient,Area Movement,32.99,0.18,False,2016,False,8,23.0,False
Schmovie,3,99,35,13,111,6.13,1.0,307,other,False,5.53,Party Game,Voting,2.0,0.36,False,2013,False,11,27.91,True
Albedo,2,4,45,14,47,6.71,3.0,92,other,True,5.53,Card Game,"Deck, Bag, and Pool Building",84.99,0.51,False,2017,False,7,13.14,False
Wing It: The Game of Extreme Storytelling,4,7,90,12,55,6.99,1.67,175,other,True,5.53,Party Game,Storytelling,10.0,0.31,False,2017,False,7,25.0,True
Furry Foodies,2,4,20,8,45,7.4,1.2,119,other,True,5.54,Abstract Strategy,Grid Movement,5.0,0.38,False,2019,False,5,23.8,True
Lagoonies,2,4,20,5,92,6.3,1.0,190,other,False,5.52,Action / Dexterity,Pattern Recognition,8.0,0.48,False,2016,False,8,23.75,True
Old Town: Solo,1,1,10,10,73,6.21,2.4,257,other,False,5.53,Deduction,Not available,3.0,0.28,False,2007,False,17,15.12,False
Battle of Durak,2,4,15,8,62,6.51,1.0,193,other,True,5.52,Card Game,Hand Management,10.0,0.32,False,2014,False,10,19.3,False
"The Game of Medici: Arms, Loves and Betrayals in XVth Century Europe",4,6,180,13,53,6.68,2.6,131,other,True,5.52,Economic,Alliances,16.0,0.4,False,1982,False,42,3.12,False
Boufbowl,2,2,45,10,50,6.92,2.33,164,other,True,5.53,Collectible Components,Action Points,24.9,0.3,False,2018,False,6,27.33,True
Greyhawk Adventures: Wars,2,6,180,12,218,5.87,2.33,494,Wargames,False,5.53,Fantasy,Area Movement,30.0,0.44,False,1991,True,33,14.97,False
Pandoria Merchants,1,4,90,8,39,6.96,2.5,159,other,True,5.54,Dice,Area Majority / Influence,25.0,0.25,False,2020,False,4,39.75,True
100 Swords: The Silver Queen's Dungeon,1,2,0,13,33,7.36,1.5,201,other,True,5.53,Card Game,"Deck, Bag, and Pool Building",14.99,0.16,False,2017,False,7,28.71,True
More Backpacks and Blisters,2,6,60,10,56,6.4,1.29,137,other,False,5.53,Card Game,Hand Management,5.0,0.41,False,1994,False,30,4.57,False
18EZ,2,6,60,0,84,6.09,3.08,92,Strategy Games,False,5.52,Economic,Network and Route Building,40.0,0.91,False,2009,False,15,6.13,False
Match Up! Food,1,10,45,10,53,6.49,1.33,139,other,True,5.55,Educational,Cooperative Game,8.0,0.38,True,2018,False,6,23.17,False
Supervillain: This Galaxy Is Mine!,2,4,60,12,76,6.26,1.67,292,other,False,5.53,Card Game,Area Majority / Influence,85.0,0.26,False,2018,False,6,48.67,True
Get Nuts,3,6,45,8,212,5.79,1.67,334,other,False,5.52,Animals,Action Points,14.99,0.63,False,2011,True,13,25.69,True
Roliça et Vimeiro 1808,2,0,0,0,30,7.57,2.57,72,Wargames,True,5.52,Napoleonic,Chit-Pull System,9.0,0.42,False,2008,False,16,4.5,False
Quest Stories,3,5,45,8,53,6.64,1.0,120,other,True,5.53,Fantasy,Acting,15.5,0.44,False,2016,False,8,15.0,False
Pizza Master,2,5,60,8,47,7.41,2.2,54,other,True,5.53,Card Game,Set Collection,15.5,0.87,False,2017,False,7,7.71,False
Start 11!  The Board Game,2,4,30,8,72,6.22,1.22,148,Abstract Games,False,5.53,Abstract Strategy,Hand Management,15.0,0.49,False,2012,False,12,12.33,False
One Hit Kill,2,3,15,8,123,6.05,1.29,322,other,False,5.52,Card Game,Open Drafting,18.0,0.38,False,2015,True,9,35.78,True
dude,3,6,5,13,353,5.7,1.0,724,other,False,5.5,Action / Dexterity,Acting,10.0,0.49,False,2018,True,6,120.67,True
Category Game,2,8,30,14,48,6.73,1.4,108,other,True,5.53,Action / Dexterity,Not available,15.5,0.44,False,1994,False,30,3.6,False
Zoned Out,2,4,45,0,38,7.02,2.0,148,other,True,5.52,City Building,Area Majority / Influence,36.0,0.26,False,2020,False,4,37.0,True
Kampf gegen das Bünzlitum,3,10,30,18,50,6.97,1.0,84,other,True,5.53,Card Game,Hand Management,15.5,0.6,False,2016,False,8,10.5,False
Rollway Station,1,1,45,0,33,7.25,2.5,46,other,True,5.57,Print & Play,Dice Rolling,15.5,0.72,True,2020,False,4,11.5,False
Dark Frontier,1,4,45,13,42,6.96,2.33,109,other,True,5.52,Card Game,Cooperative Game,20.0,0.39,False,2015,False,9,12.11,False
Metric Mile,1,10,0,10,34,7.35,2.0,62,other,True,5.53,Sports,Simulation,20.0,0.55,False,1986,False,38,1.63,False
All Time Championship Soccer,1,32,15,8,35,7.49,2.47,55,other,True,5.52,Print & Play,Dice Rolling,45.0,0.64,False,2010,False,14,3.93,False
Sealords: The Vietnam War in the Mekong Delta,2,2,180,12,41,7.07,2.89,272,Wargames,True,5.53,Vietnam War,Hexagon Grid,18.95,0.15,False,2007,False,17,16.0,False
Jutland: Duel of the Dreadnoughts,2,4,60,12,74,6.45,2.25,367,Wargames,True,5.53,Nautical,Dice Rolling,8.0,0.2,False,1991,True,33,11.12,False
Bullets and Teeth,3,5,30,13,83,6.43,1.0,223,other,False,5.52,Card Game,Hand Management,10.0,0.37,False,2017,False,7,31.86,True
18US,2,6,240,14,36,6.92,4.75,95,other,True,5.52,Economic,Modular Board,95.0,0.38,False,2005,False,19,5.0,False
Eden: Survive the Apocalypse,0,2,60,10,35,7.84,3.0,76,other,True,5.53,Miniatures,Action Points,15.5,0.46,False,2009,False,15,5.07,False
No Swap No Pay,3,5,30,8,55,6.55,1.0,61,other,True,5.53,Party Game,Betting and Bluffing,33.0,0.9,False,2019,False,5,12.2,False
Guillotine,2,4,90,10,63,6.38,0.0,144,other,False,5.52,Bluffing,Simulation,20.0,0.44,False,1998,False,26,5.54,False
Guillotine,2,4,90,10,63,6.38,0.0,144,other,False,5.52,Bluffing,Simulation,20.0,0.44,False,1983,False,41,3.51,False
Guillotine,2,4,90,10,63,6.38,0.0,144,other,False,5.52,Bluffing,Simulation,20.0,0.44,False,1987,False,37,3.89,False
Starlink,3,6,0,8,47,6.71,1.0,130,other,True,5.57,Party Game,Line Drawing,10.0,0.36,True,2020,False,4,32.5,True
Sushi War: All You Can Hit!,2,5,45,7,113,6.67,1.5,133,other,True,5.52,Action / Dexterity,Dice Rolling,12.95,0.85,False,2017,False,7,19.0,False
The Scrambled States of America: Deluxe Edition,2,4,20,8,245,5.83,1.2,950,other,False,5.53,Card Game,Pattern Recognition,5.0,0.26,False,2002,True,22,43.18,True
"Lilliburlero: The Battle of the Boyne, July 1690",2,2,180,14,30,7.19,3.0,223,Wargames,True,5.53,Civil War,Area-Impulse,15.0,0.13,False,2013,False,11,20.27,False
Think: Memo Crime,2,6,90,16,98,6.07,1.82,257,other,False,5.52,Educational,Memory,18.0,0.38,False,1997,False,27,9.52,False
Guerra a Muerte,2,2,360,12,58,6.41,2.88,326,Wargames,False,5.52,Civil War,Area Movement,25.0,0.18,False,2008,True,16,20.38,False
ORE-SOME,2,4,60,8,95,6.25,2.0,197,other,False,5.52,Action / Dexterity,Dice Rolling,9.0,0.48,False,2017,False,7,28.14,True
iKNOW: Amazing Earth,2,4,30,15,37,6.81,0.0,89,other,True,5.53,Card Game,Betting and Bluffing,15.5,0.42,False,2014,False,10,8.9,False
The Garlic Vampires,2,4,20,5,43,6.51,1.5,81,Children's Games,True,5.53,Children's Game,Dice Rolling,12.0,0.53,False,2008,False,16,5.06,False
Opus-Dei: Existence After Religion,2,6,45,16,139,6.08,1.55,307,Family Games,False,5.52,Card Game,Open Drafting,16.0,0.45,False,2008,False,16,19.19,False
Fibonacci,2,2,30,0,62,6.3,1.83,123,Abstract Games,False,5.52,Abstract Strategy,Not available,32.0,0.5,False,1992,False,32,3.84,False
Trenton 1776,2,2,120,10,40,6.84,1.8,197,Wargames,True,5.53,American Revolutionary War,Point to Point Movement,32.0,0.2,False,2015,False,9,21.89,False
Fortress Sevastopol,2,2,120,12,33,8.2,2.5,103,Wargames,True,5.52,Wargame,Area-Impulse,19.0,0.32,False,2017,False,7,14.71,False
Anno Domini: Schweiz,2,8,30,10,48,6.51,1.0,125,other,True,5.52,Bluffing,Open Drafting,15.5,0.38,False,1998,False,26,4.81,False
When Tigers Fight,2,2,300,14,88,6.2,3.0,436,Wargames,False,5.53,Wargame,Hexagon Grid,10.0,0.2,False,1994,True,30,14.53,False
Miscellaneous Game Magazine,0,0,0,0,30,7.04,2.67,260,other,True,5.53,Not available,Not available,30.5,0.12,False,0,False,2024,0.13,False
Hinkel & Stein,2,4,60,8,48,6.59,1.33,56,other,True,5.53,Action / Dexterity,Betting and Bluffing,66.0,0.86,False,2010,False,14,4.0,False
Jackal & High,2,5,20,8,155,5.94,1.16,196,other,False,5.53,Card Game,Area Majority / Influence,13.0,0.79,False,2012,False,12,16.33,False
Assist,3,7,15,6,72,6.69,1.13,100,Family Games,True,5.52,Party Game,Open Drafting,15.5,0.72,False,2011,False,13,7.69,False
James Clavell's Noble House,2,5,180,12,63,6.44,2.71,211,other,True,5.52,Economic,Auction/Bidding,25.0,0.3,False,1981,False,43,4.91,False
The Gate of R'lyeh,4,8,60,12,32,7.14,2.0,101,other,True,5.54,Deduction,Acting,24.99,0.32,False,2018,False,6,16.83,False
Bid Euchre,4,4,30,10,31,7.2,1.67,29,other,True,5.54,Card Game,Auction/Bidding,15.5,1.07,False,0,False,2024,0.01,False
Dragon Tides,1,5,60,13,77,6.29,2.25,310,other,False,5.52,Adventure,Action Points,56.99,0.25,False,2015,False,9,34.44,True
Castle Climbing Frog,2,4,20,5,46,6.78,1.5,89,other,True,5.53,Action / Dexterity,Memory,16.0,0.52,False,2017,False,7,12.71,False
Savage Streets,1,2,120,12,56,6.31,1.7,309,Wargames,False,5.52,Wargame,Area Movement,12.0,0.18,False,2011,False,13,23.77,True
Knights of Ten,2,4,30,8,55,7.06,1.44,101,other,True,5.52,Card Game,Trick-taking,9.0,0.54,False,2012,False,12,8.42,False
Island Trader,1,2,30,0,66,6.27,1.73,125,other,False,5.52,Card Game,Hand Management,8.0,0.53,False,2008,False,16,7.81,False
Pentos,2,5,30,7,177,5.8,1.6,307,other,False,5.52,Card Game,Hand Management,5.0,0.58,False,2013,False,11,27.91,True
Art of War,2,6,90,0,52,7.21,2.71,112,Abstract Games,True,5.52,Abstract Strategy,Team-Based Game,39.99,0.46,False,2007,False,17,6.59,False
Battle for China,2,3,360,12,35,7.1,2.88,231,Wargames,True,5.53,Wargame,Area Movement,16.0,0.15,False,1999,False,25,9.24,False
Orphan Black: The Card Game,3,6,30,12,80,6.18,2.0,306,other,False,5.52,Bluffing,Area Majority / Influence,27.0,0.26,False,2015,False,9,34.0,True
Team Yankee,2,2,360,12,131,6.07,1.91,437,Wargames,False,5.53,Modern Warfare,Hexagon Grid,10.0,0.3,False,2015,True,9,48.56,True
Team Yankee,2,2,360,12,131,6.07,1.91,437,Wargames,False,5.53,Modern Warfare,Hexagon Grid,10.0,0.3,False,1987,True,37,11.81,False
Orient Bazaar,2,4,10,7,64,6.4,1.4,217,other,False,5.52,Arabian,Commodity Speculation,15.0,0.29,False,2010,False,14,15.5,False
Redemption,2,5,30,7,262,6.04,2.61,474,Customizable Games,False,5.53,Card Game,Deck Construction,65.0,0.55,False,1995,True,29,16.34,False
New Mastermind,2,5,30,8,209,5.79,1.88,623,Abstract Games,False,5.53,Abstract Strategy,Not available,15.5,0.34,False,2004,True,20,31.15,True
Over the Top! Four Battles from World War One,2,2,120,12,53,6.54,2.14,216,Wargames,True,5.52,Wargame,Dice Rolling,22.0,0.25,False,1997,False,27,8.0,False
Space Station Zemo,2,5,45,10,54,6.57,2.0,96,other,True,5.53,Print & Play,Campaign / Battle Card Driven,42.0,0.56,False,1998,False,26,3.69,False
H.D.P.: Hasta Donde Puedas,4,30,30,18,84,6.38,1.0,137,other,False,5.54,Card Game,Hand Management,15.5,0.61,False,2016,False,8,17.12,False
Boing!,2,4,5,5,52,6.43,1.0,58,Children's Games,False,5.52,Action / Dexterity,Not available,35.0,0.9,False,1996,False,28,2.07,False
TravelBattle,2,2,60,12,44,7.23,2.0,97,other,True,5.54,Miniatures,Dice Rolling,49.95,0.45,False,2017,False,7,13.86,False
Schlag den Raab: Das Quiz,2,6,60,12,38,6.77,1.75,92,other,True,5.52,Movies / TV / Radio theme,Not available,15.5,0.41,False,2012,False,12,7.67,False
Bla5t,3,5,45,10,31,7.52,1.5,53,other,True,5.54,Card Game,Betting and Bluffing,15.5,0.58,False,2016,False,8,6.62,False
Uppsala: Città d'Italia,2,6,20,10,43,6.62,1.5,78,other,True,5.53,Bluffing,Open Drafting,15.5,0.55,False,2009,False,15,5.2,False
Konflikt '47,2,2,0,12,31,7.86,2.5,109,Wargames,True,5.54,Book,Action Points,15.5,0.28,False,2016,False,8,13.62,False
Hexenflug,2,5,30,8,111,5.97,2.2,241,Children's Games,False,5.53,Card Game,Set Collection,4.0,0.46,False,2010,False,14,17.21,False
Macbeth,2,5,45,12,50,6.79,1.67,91,other,True,5.53,Dice,Dice Rolling,21.5,0.55,False,2018,False,6,15.17,False
Crimebox Investigation,2,8,30,12,80,6.12,1.75,201,other,False,5.52,Card Game,Open Drafting,15.9,0.4,False,2012,False,12,16.75,False
Super Hazard Quest,2,8,60,10,62,6.78,1.5,213,other,True,5.53,Card Game,Hand Management,18.0,0.29,False,2017,False,7,30.43,True
Insula,2,5,60,8,105,6.18,2.5,184,other,False,5.52,Adventure,Cooperative Game,25.0,0.57,False,2009,False,15,12.27,False
Colorku,1,4,120,8,39,7.35,2.0,131,other,True,5.54,Abstract Strategy,Not available,25.0,0.3,False,2003,False,21,6.24,False
Vanished!,2,6,20,16,208,5.77,1.52,501,other,False,5.53,Math,Betting and Bluffing,15.0,0.42,False,1990,True,34,14.74,False
Kannibohne,2,2,45,10,58,6.47,2.0,336,other,True,5.53,Card Game,Hand Management,9.99,0.17,False,2006,True,18,18.67,False
UNDO: Forbidden Knowledge,2,6,90,10,69,6.37,1.0,206,other,False,5.54,Adventure,Cooperative Game,5.0,0.33,False,2019,False,5,41.2,True
Sherlock Holmes & Moriarty: Associates,1,1,0,10,30,7.24,0.0,319,other,True,5.55,Book,Not available,23.0,0.09,True,2015,True,9,35.44,True
Somali Pirates,1,2,0,0,35,6.99,3.17,218,Wargames,True,5.52,Modern Warfare,Hexagon Grid,19.99,0.16,False,2012,False,12,18.17,False
12 Patrols,1,1,15,12,65,6.44,2.0,127,other,True,5.57,Abstract Strategy,Hand Management,15.5,0.51,True,2019,False,5,25.4,True
6 nimmt! Schnupperspiel,2,4,30,10,34,7.12,0.0,86,other,True,5.56,Card Game,Hand Management,5.0,0.4,True,1994,False,30,2.87,False
Home on Lagrange,2,5,50,14,47,6.77,2.0,121,other,True,5.52,Movies / TV / Radio theme,Open Drafting,15.5,0.39,False,2018,False,6,20.17,False
Manimals: Europa 1,2,6,15,6,41,6.67,1.0,107,other,True,5.52,Animals,Matching,6.0,0.38,False,2007,False,17,6.29,False
Wizard Junior,3,6,20,8,55,6.43,1.33,207,Children's Games,False,5.53,Card Game,Auction/Bidding,2.0,0.27,False,2006,False,18,11.5,False
The Blessed Dark,2,4,30,13,39,7.28,1.5,104,other,True,5.55,Card Game,Dice Rolling,19.95,0.38,True,2019,False,5,20.8,False
Eagles of the Empire: Borodino,1,2,180,12,57,6.43,2.75,225,Wargames,False,5.52,Napoleonic,Area Movement,45.0,0.25,False,1994,False,30,7.5,False
Chairs,1,99,20,5,769,5.65,1.04,1186,Party Games,False,5.53,Action / Dexterity,Stacking and Balancing,5.99,0.65,False,1999,True,25,47.44,True
Ka Pai,2,4,15,8,120,6.21,1.5,212,other,False,5.52,Children's Game,Dice Rolling,6.0,0.57,False,2019,False,5,42.4,True
Anatomy Fluxx,2,6,30,8,101,6.17,1.67,442,other,False,5.55,Card Game,Hand Management,5.0,0.23,True,2018,True,6,73.67,True
A Line in the Sand: The Battle of Iraq,2,6,180,10,210,5.96,2.76,602,Wargames,False,5.53,Modern Warfare,Area Movement,15.0,0.35,False,1991,True,33,18.24,False
300: The Board Game,2,4,30,17,178,5.91,1.89,297,Thematic Games,False,5.53,Ancient,Campaign / Battle Card Driven,24.95,0.6,False,2007,False,17,17.47,False
Pyramidis,2,4,30,12,156,5.93,1.86,363,Abstract Games,False,5.53,Abstract Strategy,Grid Movement,20.0,0.43,False,1988,True,36,10.08,False
Transylvania: Curses & Traitors,3,6,45,12,176,5.92,2.25,481,Thematic Games,False,5.52,Adventure,Dice Rolling,30.0,0.37,False,2015,True,9,53.44,True
Lee Takes Command,2,2,300,12,60,6.56,3.0,278,Wargames,True,5.53,American Civil War,Area Movement,40.0,0.22,False,1993,False,31,8.97,False
